left_family,right_family,rank,distance,similarity,left_count,right_count,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,left_action,right_action,left_outcome,right_outcome,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_state_class,right_state_class,same_state_class,same_action,same_outcome,passive_only,left_sehen_form_flow,right_sehen_form_flow,left_sehen_form_stability,right_sehen_form_stability,left_sehen_form_change,right_sehen_form_change,left_hoeren_energy_tone,right_hoeren_energy_tone,left_hoeren_energy_shift,right_hoeren_energy_shift,left_fuehlen_mcm_coherence,right_fuehlen_mcm_coherence,left_fuehlen_mcm_tension,right_fuehlen_mcm_tension,left_fuehlen_mcm_asymmetry,right_fuehlen_mcm_asymmetry,kinship_sentence
dio_02qu,dio_1k0r,1,0.097092193,0.911500425,3,3,3.0,-3.0,3.0,-3.0,LONG,LONG,TP,SL,inner_map_trust_stable_identical_repeat,inner_map_caution_stable_identical_repeat,reflection_trust_seed,reflection_caution_seed,trust,caution,0,1,0,1,0.291659,0.25469,0.0,0.0,0.29436,0.154195,0.053713,-0.105623,0.089286,-0.057471,0.38496,0.370425,0.192154,0.176003,0.251832,0.168139,dio_02qu -> dio_1k0r: sensorische/MCM-Naehe=0.911500; links=inner_map_trust_stable_identical_repeat rechts=inner_map_caution_stable_identical_repeat; Aktion=LONG->LONG.
dio_0arw,dio_0ui9,1,0.101490652,0.907860632,1,2,1.0,0.0,1.0,0.0,LONG,WAIT,TP,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,single,quiet,0,0,0,1,-0.447325,-0.483187,0.0,0.0,0.533785,0.648337,-0.00536,-0.183654,-0.059524,-0.206186,0.398499,0.348577,0.275533,0.383807,-0.134298,-0.156221,dio_0arw -> dio_0ui9: sensorische/MCM-Naehe=0.907861; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0fiy,dio_0ojr,1,0.097319607,0.911311521,1,2,-1.0,0.0,-1.0,0.0,LONG,WAIT,SL,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_negative_open,reflection_quiet_observation,single,quiet,0,0,0,1,-0.598073,-0.724046,0.0,0.0,-0.125696,-0.188908,0.248256,0.350179,-0.038462,0.137457,0.330488,0.30195,0.375569,0.4814,-0.37278,-0.423312,dio_0fiy -> dio_0ojr: sensorische/MCM-Naehe=0.911312; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0igh,dio_0cgn,1,0.274682071,0.784509348,1,3,0.0,1.0,0.0,1.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,single,variant,0,1,1,1,0.694031,0.05444,1.0,1.0,0.092729,0.108879,0.05354,0.055143,0.083799,0.206897,0.985009,0.98456,0.328817,0.063445,0.427672,0.097996,dio_0igh -> dio_0cgn: sensorische/MCM-Naehe=0.784509; links=inner_map_single_observation rechts=inner_map_shift_or_variant; Aktion=WAIT->WAIT.
dio_0x1o,dio_1g7l,1,0.045328884,0.956636725,1,3,1.0,0.0,1.0,0.0,LONG,WAIT,TP,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,single,quiet,0,0,0,1,-0.06572,-0.077222,-1.0,-1.0,0.483265,0.464469,-0.081173,-0.13539,-0.029586,0.080214,-0.222728,-0.237909,0.139017,0.163612,0.073263,0.084271,dio_0x1o -> dio_1g7l: sensorische/MCM-Naehe=0.956637; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_143d,dio_0cgn,1,0.348056388,0.741808732,1,3,0.0,1.0,0.0,1.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,single,variant,0,1,1,1,0.822477,0.05444,1.0,1.0,-0.169765,0.108879,0.010545,0.055143,-0.130208,0.206897,0.997047,0.98456,0.377032,0.063445,0.393802,0.097996,dio_143d -> dio_0cgn: sensorische/MCM-Naehe=0.741809; links=inner_map_single_observation rechts=inner_map_shift_or_variant; Aktion=WAIT->WAIT.
dio_14xc,dio_0cgn,1,0.348056388,0.741808732,1,3,0.0,1.0,0.0,1.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,single,variant,0,1,1,1,0.822477,0.05444,1.0,1.0,-0.169765,0.108879,0.010545,0.055143,-0.130208,0.206897,0.997047,0.98456,0.377032,0.063445,0.393802,0.097996,dio_14xc -> dio_0cgn: sensorische/MCM-Naehe=0.741809; links=inner_map_single_observation rechts=inner_map_shift_or_variant; Aktion=WAIT->WAIT.
dio_16yc,dio_0fa9,1,0.055978061,0.946989371,2,2,1.0,0.0,1.0,0.0,SHORT,WAIT,NO_TRADE,NO_TRADE,inner_map_shift_or_variant,inner_map_quiet_stable_identical_repeat,reflection_confirmation_seed,reflection_quiet_observation,variant,quiet,0,0,1,1,-0.184859,-0.201426,-1.0,-1.0,-0.499951,-0.62011,0.308365,0.360444,0.737705,0.804878,-0.286342,-0.300924,0.287146,0.335203,-0.075968,-0.100649,dio_16yc -> dio_0fa9: sensorische/MCM-Naehe=0.946989; links=inner_map_shift_or_variant rechts=inner_map_quiet_stable_identical_repeat; Aktion=SHORT->WAIT.
dio_1g2t,dio_06bd,1,0.072878089,0.932072348,1,2,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_quiet_observation,reflection_quiet_observation,single,quiet,0,1,1,1,-0.40234,-0.473624,-0.333333,-0.333333,-0.251683,-0.345201,0.303705,0.373255,0.166667,0.295567,0.114963,0.095489,0.336808,0.410921,-0.252381,-0.288964,dio_1g2t -> dio_06bd: sensorische/MCM-Naehe=0.932072; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=WAIT->WAIT.
dio_1qwp,dio_0cgn,1,0.342216584,0.745036242,1,3,0.0,1.0,0.0,1.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,single,variant,0,1,1,1,0.846917,0.05444,1.0,1.0,0.076888,0.108879,0.093873,0.055143,0.053476,0.206897,0.973715,0.98456,0.407434,0.063445,0.503422,0.097996,dio_1qwp -> dio_0cgn: sensorische/MCM-Naehe=0.745036; links=inner_map_single_observation rechts=inner_map_shift_or_variant; Aktion=WAIT->WAIT.
dio_1txv,dio_0cgn,1,0.035281864,0.965920524,3,3,1.0,1.0,1.0,1.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_shift_or_variant,inner_map_shift_or_variant,reflection_confirmation_seed,reflection_confirmation_seed,variant,variant,1,1,1,1,0.032622,0.05444,1.0,1.0,0.065244,0.108879,0.039728,0.055143,0.133333,0.206897,0.988876,0.98456,0.040826,0.063445,0.060594,0.097996,dio_1txv -> dio_0cgn: sensorische/MCM-Naehe=0.965921; links=inner_map_shift_or_variant rechts=inner_map_shift_or_variant; Aktion=WAIT->WAIT.
