world,source_file,families,carry_signal_family_count,positive_carried_cos_family_count,avg_carry,max_carry,avg_carried_cos,max_carried_cos,avg_readiness,max_readiness,avg_inner_balance,avg_temporal_trust,avg_temporal_caution
probe14,debug\dio_mini_temporal_neuro_kinship_probe18_to_variant_probe14\temporal_neuro_kinship_transfer.csv,18,18,15,0.21717,0.279407,0.55485,0.994181,0.006366,0.010072,0.060602,0.0,0.72
probe15,debug\dio_mini_temporal_neuro_kinship_probe18_to_variant_probe15\temporal_neuro_kinship_transfer.csv,18,18,15,0.216732,0.280327,0.550591,0.994597,0.013358,0.052281,0.062851,0.0,0.72
