family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_1mx6,4,60,63,2,2,0,2,2.572766,0.180337,0.076545,observation_to_execution
dio_1dmh,4,60,63,2,2,0,2,2.480166,0.173129,0.065773,observation_to_execution
dio_0thk,4,60,63,1,3,0,1,1.156708,0.09405,0.065401,observation_to_execution
dio_1k0r,3,60,62,3,0,0,3,4.7844,0.442674,0.071574,persistent_execution
dio_01yf,2,60,61,2,0,0,2,1.876634,0.143424,0.072579,persistent_execution
dio_185j,4,60,63,0,4,0,0,0.0,0.029068,0.029068,stable_observation
dio_026q,2,60,61,0,2,0,0,0.0,0.017334,0.017334,stable_observation
dio_07z2,2,60,61,0,2,0,0,0.0,0.015002,0.015002,stable_observation
dio_0a54,2,62,63,0,2,0,0,0.0,0.008076,0.008076,stable_observation
dio_0hla,2,60,61,0,2,0,0,0.0,0.009456,0.009456,stable_observation
dio_0if9,2,62,63,0,2,0,0,0.0,0.009589,0.009589,stable_observation
dio_0x50,2,60,61,0,2,0,0,0.0,0.017127,0.017127,stable_observation
dio_0ie2,1,63,63,0,1,0,0,0.0,0.003869,0.003869,stable_observation
