family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
dio_0cn1,48,1,0,0,0,1,0.0,0.00441,0.00441
dio_0cn1,49,1,0,0,0,1,0.0,0.015779,0.015779
dio_0cn1,50,1,0,0,0,1,0.0,0.047498,0.047498
dio_0cn1,51,1,1,1,0,0,1.191733,0.096682,0.064895
dio_0i2c,48,1,0,0,0,1,0.0,0.004103,0.004103
dio_0i2c,49,1,0,0,0,1,0.0,0.004284,0.004284
dio_0jjv,48,1,0,0,0,1,0.0,0.00485,0.00485
dio_0jjv,49,1,0,0,0,1,0.0,0.009159,0.009159
dio_0mlh,50,1,0,0,0,1,0.0,0.004178,0.004178
dio_0mlh,51,1,0,0,0,1,0.0,0.012936,0.012936
dio_0ppq,50,1,0,0,0,1,0.0,0.00395,0.00395
dio_0ppq,51,1,0,0,0,1,0.0,0.003882,0.003882
dio_0pw5,48,1,0,0,0,1,0.0,0.005437,0.005437
dio_0pw5,49,1,0,0,0,1,0.0,0.017894,0.017894
dio_0pw5,50,1,1,1,0,0,1.35378,0.054048,0.054048
dio_0pw5,51,1,1,1,0,0,1.35378,0.189007,0.073674
dio_0wp4,48,1,0,0,0,1,0.0,0.003976,0.003976
dio_0wp4,49,1,0,0,0,1,0.0,0.00958,0.00958
dio_0wp4,50,1,0,0,0,1,0.0,0.025666,0.025666
dio_0wp4,51,1,0,0,0,1,0.0,0.050331,0.050331
dio_134j,48,1,0,0,0,1,0.0,0.004128,0.004128
dio_134j,49,1,0,0,0,1,0.0,0.020976,0.020976
dio_13ld,48,1,0,0,0,1,0.0,0.003926,0.003926
dio_13ld,49,1,0,0,0,1,0.0,0.015029,0.015029
dio_1gj1,48,1,0,0,0,1,0.0,0.005122,0.005122
dio_1gj1,49,1,0,0,0,1,0.0,0.01607,0.01607
dio_1iuo,48,1,1,1,0,0,1.762387,0.069896,0.064222
dio_1iuo,49,1,1,1,0,0,1.762387,0.245962,0.066179
dio_1iwu,50,1,0,0,0,1,0.0,0.004404,0.004404
dio_1iwu,51,1,0,0,0,1,0.0,0.01428,0.01428
dio_1l8g,48,1,0,0,0,1,0.0,0.003865,0.003865
dio_1l8g,49,1,0,0,0,1,0.0,0.007819,0.007819
dio_1r42,48,1,0,0,0,1,0.0,0.004166,0.004166
dio_1r42,49,1,0,0,0,1,0.0,0.015803,0.015803
dio_1r42,50,1,1,1,0,0,1.210594,0.048224,0.048224
dio_1r42,51,1,1,1,0,0,1.210594,0.168931,0.06377
dio_1sgx,48,1,0,0,0,1,0.0,0.004544,0.004544
dio_1sgx,49,1,0,0,0,1,0.0,0.022289,0.022289
dio_1tzc,48,1,0,0,0,1,0.0,0.004034,0.004034
dio_1tzc,49,1,0,0,0,1,0.0,0.015959,0.015959
dio_1tzc,50,1,1,1,0,0,1.238489,0.048908,0.048908
