family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_0pw5,4,48,51,2,2,0,2,2.70756,0.189007,0.073674,observation_to_execution
dio_1r42,4,48,51,2,2,0,2,2.421188,0.168931,0.06377,observation_to_execution
dio_0cn1,4,48,51,1,3,0,1,1.191733,0.096682,0.064895,observation_to_execution
dio_1tzc,3,48,50,1,2,0,1,1.238489,0.048908,0.048908,observation_to_execution
dio_1iuo,2,48,49,2,0,0,2,3.524774,0.245962,0.066179,persistent_execution
dio_0wp4,4,48,51,0,4,0,0,0.0,0.050331,0.050331,stable_observation
dio_0i2c,2,48,49,0,2,0,0,0.0,0.004284,0.004284,stable_observation
dio_0jjv,2,48,49,0,2,0,0,0.0,0.009159,0.009159,stable_observation
dio_0mlh,2,50,51,0,2,0,0,0.0,0.012936,0.012936,stable_observation
dio_0ppq,2,50,51,0,2,0,0,0.0,0.00395,0.00395,stable_observation
dio_134j,2,48,49,0,2,0,0,0.0,0.020976,0.020976,stable_observation
dio_13ld,2,48,49,0,2,0,0,0.0,0.015029,0.015029,stable_observation
dio_1gj1,2,48,49,0,2,0,0,0.0,0.01607,0.01607,stable_observation
dio_1iwu,2,50,51,0,2,0,0,0.0,0.01428,0.01428,stable_observation
dio_1l8g,2,48,49,0,2,0,0,0.0,0.007819,0.007819,stable_observation
dio_1sgx,2,48,49,0,2,0,0,0.0,0.022289,0.022289,stable_observation
