inner_variant_awareness_state,count,event_reward_sum,episode_count,family_actions
inner_variant_related_observation,2,0.0,6,"dio_173s:WAIT,dio_1rv1:WAIT"
inner_variant_self_carried,2,6.0,6,"dio_0hd3:SHORT,dio_0szn:SHORT"
inner_variant_wait_context,6,0.0,18,"dio_0989:WAIT,dio_0b66:WAIT,dio_0gmg:WAIT,dio_0qze:WAIT,dio_1guc:WAIT,dio_1t1w:WAIT"
