debug_root,root_name,run,tick,symbol_family,action,raw_action,best_action_training,binding_state,binding_quality,episode_relation,phase_active,phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,score_wait,score_long,score_short,reward,best_reward_training,unrealized_best_reward,held_impulse_potential
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,133,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.017386,1.141276,-0.05573,1.16448,1.16448,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,133,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,different_contact,0,5,0.239112,0.0,1.0,0.012113,-0.060517,1.404352,1.491128,1.491128,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,133,11,dio_1mx2,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,5,0.386549,0.0,1.0,0.053371,-0.068538,-0.068162,0.0,0.260467,0.260467,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,133,12,dio_173s,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,6,0.552088,0.0,1.0,0.057791,-0.066154,-0.07053,0.0,0.782872,0.782872,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,133,13,dio_1g18,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,new_contact,0,7,0.679175,0.294456,0.605299,0.043405,-0.066781,0.617043,0.845303,0.845303,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,133,18,dio_0gmg,WAIT,WAIT,LONG,observed_not_bound,observation_potential,different_contact,0,5,0.51755,0.0,1.0,0.059541,-0.067243,-0.07439,0.0,0.163765,0.163765,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,134,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.01486,1.229076,-0.055756,1.16448,1.16448,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,134,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,different_contact,0,5,0.239112,0.0,1.0,0.010634,-0.060545,1.464479,1.491128,1.491128,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,134,11,dio_1mx2,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,5,0.386549,0.0,1.0,0.053261,-0.068739,-0.055514,0.0,0.260467,0.260467,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,134,12,dio_173s,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,6,0.552088,0.0,1.0,0.057471,-0.06635,-0.031908,0.0,0.782872,0.782872,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,134,13,dio_1g18,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,new_contact,0,7,0.679175,0.294456,0.675467,0.040576,-0.066781,0.714454,0.845303,0.845303,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,134,18,dio_0gmg,WAIT,WAIT,LONG,observed_not_bound,observation_potential,different_contact,0,5,0.51755,0.0,1.0,0.059471,-0.05926,-0.074434,0.0,0.163765,0.163765,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,135,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.012742,1.303001,-0.055705,1.16448,1.16448,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe15_self_awareness_return\run,run,135,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,different_contact,0,5,0.239112,0.0,1.0,0.010613,-0.060479,1.465321,1.491128,1.491128,0.0,0.0
