map_label,source_label,passive_family_action,action,inner_maturity_seed,passive_maturity_state,best_similarity,best_mcm_similarity,best_real_family_action,best_real_reward_sum,inner_sentence,passive_only
basis,probe16,dio_04zi:LONG,LONG,inner_carefulness_seed,passive_observation_has_burdened_neighbor,0.737970375,0.730839667,dio_1k0r:LONG,-3.0,"dio_04zi:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1k0r:LONG wurde belastet (Naehe=0.737970, Konsequenz=-3.000000).",1
basis,probe16,dio_1qig:LONG,LONG,inner_carefulness_seed,passive_observation_has_burdened_neighbor,0.762543437,0.752622,dio_1k0r:LONG,-3.0,"dio_1qig:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1k0r:LONG wurde belastet (Naehe=0.762543, Konsequenz=-3.000000).",1
basis,probe16,dio_1w4m:LONG,LONG,inner_carefulness_seed,passive_observation_has_burdened_neighbor,0.886422438,0.913190833,dio_1k0r:LONG,-3.0,"dio_1w4m:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1k0r:LONG wurde belastet (Naehe=0.886422, Konsequenz=-3.000000).",1
basis,probe15,dio_0izw:SHORT,SHORT,inner_reorganization_seed,passive_observation_has_mixed_neighbors,0.884336312,0.9442415,dio_1g18:SHORT,3.0,dio_0izw:SHORT: Ich habe diese Form passiv gesehen. Nahe reale Spuren waren gemischt. Diese Familie braucht Reorganisation statt direkte Handlung.,1
basis,probe15,dio_15ms:SHORT,SHORT,inner_reorganization_seed,passive_observation_has_mixed_neighbors,0.787475125,0.84984,dio_0x52:SHORT,-3.0,dio_15ms:SHORT: Ich habe diese Form passiv gesehen. Nahe reale Spuren waren gemischt. Diese Familie braucht Reorganisation statt direkte Handlung.,1
basis,probe15,dio_173s:SHORT,SHORT,inner_reorganization_seed,passive_observation_has_mixed_neighbors,0.811962125,0.816813667,dio_1g18:SHORT,3.0,dio_173s:SHORT: Ich habe diese Form passiv gesehen. Nahe reale Spuren waren gemischt. Diese Familie braucht Reorganisation statt direkte Handlung.,1
basis,probe18,dio_14xc:LONG,LONG,inner_trust_seed,passive_observation_has_carried_neighbor,0.80021625,0.843510833,dio_02qu:LONG,3.0,"dio_14xc:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_02qu:LONG wurde getragen (Naehe=0.800216, Konsequenz=3.000000).",1
followup,probe16,dio_04zi:LONG,LONG,inner_carefulness_seed,passive_observation_has_burdened_neighbor,0.737970375,0.730839667,dio_1k0r:LONG,-1.0,"dio_04zi:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1k0r:LONG wurde belastet (Naehe=0.737970, Konsequenz=-1.000000).",1
followup,probe16,dio_1qig:LONG,LONG,inner_carefulness_seed,passive_observation_has_burdened_neighbor,0.762543437,0.752622,dio_1k0r:LONG,-1.0,"dio_1qig:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1k0r:LONG wurde belastet (Naehe=0.762543, Konsequenz=-1.000000).",1
followup,probe16,dio_1vjg:LONG,LONG,inner_carefulness_seed,passive_observation_has_burdened_neighbor,0.78529625,0.797495167,dio_1k0r:LONG,-1.0,"dio_1vjg:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1k0r:LONG wurde belastet (Naehe=0.785296, Konsequenz=-1.000000).",1
followup,probe16,dio_1w4m:LONG,LONG,inner_carefulness_seed,passive_observation_has_burdened_neighbor,0.886422438,0.913190833,dio_1k0r:LONG,-1.0,"dio_1w4m:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1k0r:LONG wurde belastet (Naehe=0.886422, Konsequenz=-1.000000).",1
followup,probe18,dio_14xc:LONG,LONG,inner_trust_seed,passive_observation_has_carried_neighbor,0.80021625,0.843510833,dio_02qu:LONG,3.0,"dio_14xc:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_02qu:LONG wurde getragen (Naehe=0.800216, Konsequenz=3.000000).",1
followup,probe15,dio_173s:SHORT,SHORT,inner_trust_seed,passive_observation_has_carried_neighbor,0.811962125,0.816813667,dio_1g18:SHORT,3.0,"dio_173s:SHORT: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1g18:SHORT wurde getragen (Naehe=0.811962, Konsequenz=3.000000).",1
