phase,phase_run,global_run,data_path,candles,episodes,trades,long_trades,short_trades,waits,total_reward,avg_reward,unique_symbols,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,avg_observation_trade_signal,max_observation_trade_signal,avg_observation_trade_readiness,max_observation_trade_readiness,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,top_long_family,top_long_trust,top_short_family,top_short_trust
order_shift_resonanz,1,48,data\kontrolliert_reihenfolge_shift_resonanz_2episoden_5m_SOLUSDT.csv,23,13,1,1,0,12,1.762387,0.135568,13,0.00942,0.069896,0.062699,0.077676,0.053716,0.072239,0.008983,0.064222,0.000865,0.011244,9.5e-05,0.001237,12,0.059725,0.074142,dio_1lam,1.0,dio_0t45,1.0
order_shift_resonanz,2,49,data\kontrolliert_reihenfolge_shift_resonanz_2episoden_5m_SOLUSDT.csv,23,13,1,1,0,12,1.762387,0.135568,13,0.032046,0.245962,0.060905,0.071912,0.042688,0.055848,0.018217,0.066179,0.004184,0.011244,0.00046,0.001237,12,0.051222,0.06028,dio_1lam,1.0,dio_0t45,1.0
order_shift_resonanz,3,50,data\kontrolliert_reihenfolge_shift_resonanz_2episoden_5m_SOLUSDT.csv,23,8,3,1,2,5,3.802863,0.475358,8,0.029609,0.054048,0.061478,0.074258,0.031868,0.058507,0.029609,0.054048,0.004417,0.010236,0.000486,0.001126,5,0.048382,0.060048,dio_1lam,1.0,dio_0t45,1.0
order_shift_resonanz,4,51,data\kontrolliert_reihenfolge_shift_resonanz_2episoden_5m_SOLUSDT.csv,23,7,3,1,2,4,3.756106,0.536587,7,0.076578,0.189007,0.062648,0.073674,0.02211,0.051571,0.040538,0.073674,0.005444,0.010236,0.000599,0.001126,4,0.045817,0.055039,dio_1lam,1.0,dio_0t45,1.0
