family,left_visible,right_visible,edge_lost_count,edge_new_count,edge_carried_count,family_transition,left_text_hint,right_text_hint,sehen_stage_delta,hoeren_stage_delta,fuehlen_mcm_stage_delta,zeit_stage_delta,neuro_stage_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0325,True,True,0,0,0,family_carried,focus_tone,focus_tone,0.0,0.0052805,0.000870667,0.0,0.000109333,True,False,False,False,False,False,False,False
dio_10qz,True,True,0,0,1,family_carried,focus_tone,focus_tone,0.0,0.0026745,0.000516,0.0,0.000101333,True,False,False,False,False,False,False,False
dio_114i,True,True,0,0,1,family_carried,focus_tone,focus_tone,0.0,0.005424,0.000900667,0.0,0.000116,True,False,False,False,False,False,False,False
dio_1ytc,False,False,0,0,0,family_absent,-,-,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False
