passive_reife_state,family_count,episodes,stable_recurrence_rate,meaning_preservation_rate,new_pattern_rate
instabil_neuordnend,1,12,0.0,0.166667,0.833333
sinnnah_variantenfaehig,16,192,0.197917,0.96875,0.03125
zeitfragil_aber_richtungserhaltend,1,12,0.0,0.666667,0.333333
