reference_family,episodes,stable_recurrence_count,fine_signature_shift_count,same_meaning_variant_count,far_kinship_same_direction_count,new_preconscious_pattern_count,same_family_count,same_action_count,stable_recurrence_rate,meaning_preservation_rate,variant_capacity_rate,conflict_or_new_rate,avg_sense_abs_delta_sum,max_sense_abs_delta_sum,temporal_probe23_same_family,temporal_probe23_same_action,temporal_probe23_avg_delta,temporal_fragility,passive_reife_state,probe_trace,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate
dio_1ekt,12,10,0,0,2,0,10,12,0.833333,1.0,0.166667,0.0,0.393981167,2.075989,0,2,2.07389,1.0,sinnnah_variantenfaehig,"20:sf2/2,sa2/2,d0.066642;21:sf2/2,sa2/2,d0.076058;22:sf2/2,sa2/2,d0.063782;23:sf0/2,sa2/2,d2.07389;24:sf2/2,sa2/2,d0.043169;26:sf2/2,sa2/2,d0.040346",1,0,0,0,0
dio_05k3,12,8,0,0,2,2,8,10,0.666667,0.833333,0.166667,0.166667,0.062510083,0.143621,0,0,0.0715185,1.0,sinnnah_variantenfaehig,"20:sf2/2,sa2/2,d0.019914;21:sf2/2,sa2/2,d0.143558;22:sf2/2,sa2/2,d0.01768;23:sf0/2,sa0/2,d0.071518;24:sf0/2,sa2/2,d0.114697;26:sf2/2,sa2/2,d0.007694",1,0,0,0,0
dio_0x52,12,6,2,4,0,0,6,12,0.5,1.0,0.5,0.0,0.028153167,0.051935,0,2,0.0225885,1.0,sinnnah_variantenfaehig,"20:sf2/2,sa2/2,d0.018911;21:sf2/2,sa2/2,d0.044665;22:sf2/2,sa2/2,d0.016439;23:sf0/2,sa2/2,d0.022588;24:sf0/2,sa2/2,d0.051907;26:sf0/2,sa2/2,d0.014408",1,0,0,0,0
dio_0fvj,12,4,4,0,4,0,4,12,0.333333,1.0,0.666667,0.0,0.067062417,0.183463,0,2,0.142363,1.0,sinnnah_variantenfaehig,"20:sf2/2,sa2/2,d0.010194;21:sf0/2,sa2/2,d0.183383;22:sf2/2,sa2/2,d0.044922;23:sf0/2,sa2/2,d0.142363;24:sf0/2,sa2/2,d0.015464;26:sf0/2,sa2/2,d0.006049",1,0,0,0,0
dio_15gs,12,4,0,0,8,0,4,12,0.333333,1.0,0.666667,0.0,0.143186917,0.278579,0,2,0.2525955,1.0,sinnnah_variantenfaehig,"20:sf2/2,sa2/2,d0.031629;21:sf0/2,sa2/2,d0.278434;22:sf2/2,sa2/2,d0.025889;23:sf0/2,sa2/2,d0.252595;24:sf0/2,sa2/2,d0.182586;26:sf0/2,sa2/2,d0.087989",1,0,0,0,0
dio_19mp,12,2,0,2,8,0,2,12,0.166667,1.0,0.833333,0.0,0.135833917,0.291748,0,2,0.291675,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.143636;21:sf0/2,sa2/2,d0.061497;22:sf0/2,sa2/2,d0.136163;23:sf0/2,sa2/2,d0.291675;24:sf0/2,sa2/2,d0.150327;26:sf2/2,sa2/2,d0.031705",1,0,0,0,0
dio_1ull,12,2,0,0,10,0,2,12,0.166667,1.0,0.833333,0.0,0.1330075,0.225298,0,2,0.2251365,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.098856;21:sf0/2,sa2/2,d0.206153;22:sf0/2,sa2/2,d0.101722;23:sf0/2,sa2/2,d0.225137;24:sf0/2,sa2/2,d0.145675;26:sf2/2,sa2/2,d0.020501",1,0,0,0,0
dio_1hs5,12,2,2,6,0,2,2,10,0.166667,0.833333,0.666667,0.166667,0.386988833,2.180508,0,0,2.178332,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.026375;21:sf0/2,sa2/2,d0.067277;22:sf0/2,sa2/2,d0.019316;23:sf0/2,sa0/2,d2.178332;24:sf0/2,sa2/2,d0.02093;26:sf2/2,sa2/2,d0.009702",1,0,0,0,0
dio_067m,12,0,0,0,12,0,0,12,0.0,1.0,1.0,0.0,0.601207417,2.540664,0,2,2.53874,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.182868;21:sf0/2,sa2/2,d0.288201;22:sf0/2,sa2/2,d0.206579;23:sf0/2,sa2/2,d2.53874;24:sf0/2,sa2/2,d0.259236;26:sf0/2,sa2/2,d0.13162",1,0,0,0,0
dio_0qym,12,0,0,8,4,0,0,12,0.0,1.0,1.0,0.0,0.18341525,0.804402,0,2,0.8034855,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.041557;21:sf0/2,sa2/2,d0.066468;22:sf0/2,sa2/2,d0.042734;23:sf0/2,sa2/2,d0.803485;24:sf0/2,sa2/2,d0.107295;26:sf0/2,sa2/2,d0.038951",1,0,0,0,0
dio_1215,12,0,0,2,10,0,0,12,0.0,1.0,1.0,0.0,0.177668917,0.378176,0,2,0.3776235,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.134433;21:sf0/2,sa2/2,d0.135624;22:sf0/2,sa2/2,d0.127982;23:sf0/2,sa2/2,d0.377624;24:sf0/2,sa2/2,d0.212299;26:sf0/2,sa2/2,d0.078052",1,0,0,0,0
dio_1aqj,12,0,2,8,2,0,0,12,0.0,1.0,1.0,0.0,0.372815333,1.991341,0,2,1.98892,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.071744;21:sf0/2,sa2/2,d0.032007;22:sf0/2,sa2/2,d0.061151;23:sf0/2,sa2/2,d1.98892;24:sf0/2,sa2/2,d0.06314;26:sf0/2,sa2/2,d0.01993",1,0,0,0,0
dio_1mrs,12,0,0,4,8,0,0,12,0.0,1.0,1.0,0.0,0.15976575,0.417808,0,2,0.229986,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.082806;21:sf0/2,sa2/2,d0.41776;22:sf0/2,sa2/2,d0.052839;23:sf0/2,sa2/2,d0.229986;24:sf0/2,sa2/2,d0.134004;26:sf0/2,sa2/2,d0.0412",1,0,0,0,0
dio_1noq,12,0,0,8,4,0,0,12,0.0,1.0,1.0,0.0,0.392093333,2.028656,0,2,2.027481,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.043525;21:sf0/2,sa2/2,d0.171049;22:sf0/2,sa2/2,d0.053326;23:sf0/2,sa2/2,d2.027481;24:sf0/2,sa2/2,d0.029409;26:sf0/2,sa2/2,d0.027769",1,0,0,0,0
dio_1xfw,12,0,4,4,4,0,0,12,0.0,1.0,1.0,0.0,0.37091525,2.014264,0,2,2.012006,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.021133;21:sf0/2,sa2/2,d0.145104;22:sf0/2,sa2/2,d0.010228;23:sf0/2,sa2/2,d2.012006;24:sf0/2,sa2/2,d0.0202;26:sf0/2,sa2/2,d0.01682",1,0,0,0,0
dio_1bwy,12,0,4,4,2,2,0,10,0.0,0.833333,0.833333,0.166667,0.380959583,2.100227,0,0,2.097083,1.0,sinnnah_variantenfaehig,"20:sf0/2,sa2/2,d0.013911;21:sf0/2,sa2/2,d0.087234;22:sf0/2,sa2/2,d0.017878;23:sf0/2,sa0/2,d2.097083;24:sf0/2,sa2/2,d0.036271;26:sf0/2,sa2/2,d0.033381",1,0,0,0,0
dio_04kx,12,0,0,4,4,4,0,8,0.0,0.666667,0.666667,0.333333,0.407861583,2.138984,0,2,2.135932,1.0,zeitfragil_aber_richtungserhaltend,"20:sf0/2,sa0/2,d0.047705;21:sf0/2,sa2/2,d0.116147;22:sf0/2,sa2/2,d0.055829;23:sf0/2,sa2/2,d2.135932;24:sf0/2,sa2/2,d0.054788;26:sf0/2,sa0/2,d0.036769",1,0,0,0,0
dio_1lno,12,0,0,2,0,10,0,2,0.0,0.166667,0.166667,0.833333,0.112506917,0.29252,0,0,0.2920835,1.0,instabil_neuordnend,"20:sf0/2,sa0/2,d0.092869;21:sf0/2,sa0/2,d0.078101;22:sf0/2,sa0/2,d0.085112;23:sf0/2,sa0/2,d0.292083;24:sf0/2,sa0/2,d0.086064;26:sf0/2,sa2/2,d0.040813",1,0,0,0,0
