family,phases,phase_count,dominant_transition,transition_counts,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer
dio_1d6j,"order_shift,order_shift_varianz",2,observation_to_execution,"{""observation_to_execution"": 1, ""persistent_execution"": 1}",5,3,0,5,4.768065,0.523523,0.05709
dio_1ytj,"order_shift_drift,order_shift_varianz",2,raw_pressure_held,"{""persistent_execution"": 1, ""raw_pressure_held"": 1}",3,4,2,5,3.443424,0.497767,0.062001
dio_1iuo,"order_shift_drift,order_shift_resonanz",2,stable_observation,"{""persistent_execution"": 1, ""stable_observation"": 1}",2,2,0,2,3.524774,0.245962,0.066179
dio_1lam,shift,1,persistent_execution,"{""persistent_execution"": 1}",4,0,0,4,5.19776,0.761004,0.078122
dio_1cpq,shift,1,observation_to_execution,"{""observation_to_execution"": 1}",3,1,1,4,3.876612,0.510169,0.066977
dio_1ioc,order_shift_varianz,1,observation_to_execution,"{""observation_to_execution"": 1}",2,2,0,2,3.339704,0.232116,0.079776
dio_1fqy,order_shift_drift,1,observation_to_execution,"{""observation_to_execution"": 1}",2,2,0,2,3.10993,0.216453,0.075255
dio_121e,order_shift,1,observation_to_execution,"{""observation_to_execution"": 1}",2,2,0,2,3.042412,0.211842,0.081719
dio_0pw5,order_shift_resonanz,1,observation_to_execution,"{""observation_to_execution"": 1}",2,2,0,2,2.70756,0.189007,0.073674
dio_1r42,order_shift_resonanz,1,observation_to_execution,"{""observation_to_execution"": 1}",2,2,0,2,2.421188,0.168931,0.06377
dio_0odx,shift,1,observation_to_execution,"{""observation_to_execution"": 1}",2,2,0,2,0.520934,0.092001,0.055604
dio_1r0b,shift,1,persistent_execution,"{""persistent_execution"": 1}",2,0,0,2,1.959404,0.363935,0.064581
dio_0cn1,order_shift_resonanz,1,observation_to_execution,"{""observation_to_execution"": 1}",1,3,0,1,1.191733,0.096682,0.064895
dio_1e6y,order_shift_drift,1,observation_to_execution,"{""observation_to_execution"": 1}",1,3,0,1,0.941453,0.07695,0.059666
dio_1h5i,order_shift,1,observation_to_execution,"{""observation_to_execution"": 1}",1,2,0,1,1.652416,0.064142,0.060884
dio_15th,order_shift_drift,1,observation_to_execution,"{""observation_to_execution"": 1}",1,2,0,1,1.296838,0.051073,0.051073
dio_1tzc,order_shift_resonanz,1,observation_to_execution,"{""observation_to_execution"": 1}",1,2,0,1,1.238489,0.048908,0.048908
dio_0nmi,order_shift,1,observation_to_execution,"{""observation_to_execution"": 1}",1,1,0,1,2.0,0.104784,0.059966
dio_1sxo,order_shift_varianz,1,observation_to_execution,"{""observation_to_execution"": 1}",1,1,0,1,0.993834,0.076944,0.069375
dio_00eh,order_shift,1,execution_to_nonexecution,"{""execution_to_nonexecution"": 1}",1,1,0,1,-0.431148,0.072906,0.066364
dio_0f4h,order_shift,1,persistent_execution,"{""persistent_execution"": 1}",1,0,0,1,2.0,0.172588,0.061115
dio_1mml,shift,1,persistent_execution,"{""persistent_execution"": 1}",1,0,0,1,0.237245,0.086014,0.04983
