inner_transition,stability_kind,count,reward_sum,best_reward_sum,avg_reward,positive_contacts,observed_potentials,families,actions
same_inner_state,stable_state,8,5.812,6.512112,0.7265,4,4,"dio_0ofo,dio_1mym","LONG,WAIT"
inner_unfinished_to_inner_carried,transition_state,4,4.34704,4.34704,1.08676,4,0,dio_04z7,LONG
timeline_start,start_state,4,3.647524,3.647524,0.911881,4,0,dio_1bwb,SHORT
inner_carried_to_inner_open_observation,transition_state,4,0.0,0.378512,0.0,0,4,dio_14xc,WAIT
inner_open_observation_to_inner_unfinished,transition_state,4,0.0,2.780168,0.0,0,4,dio_1k7y,WAIT
