family_action,symbol_family,action,freshness_state,source_count,source_labels,run_count,episode_count,first_source,last_source,first_tick,last_tick,tick_span,phase_time_states,outcome_events,phase_active_count,avg_finite_phase_age,avg_bars_held,event_reward_sum,avg_event_reward,avg_phase_distance,avg_binding_pressure,avg_release_pressure,passive_only,influences_action,is_gate,is_motoric,time_summary_sentence
dio_04zi:WAIT,dio_04zi,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,5,5,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_04zi:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_06bd:WAIT,dio_06bd,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,3,3,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_06bd:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0cgn:WAIT,dio_0cgn,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,1,1,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0cgn:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0fa9:WAIT,dio_0fa9,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,2,2,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0fa9:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0ojr:WAIT,dio_0ojr,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,4,4,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0ojr:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0rb2:WAIT,dio_0rb2,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,16,16,0,different_contact_afterimage:1|no_prior_phase:2,NO_TRADE:3,0,7.0,,0.0,0.0,0.778908,0.0,1.0,1,0,0,0,dio_0rb2:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0vc8:WAIT,dio_0vc8,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,7,7,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0vc8:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_10kx:WAIT,dio_10kx,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,2,2,variant_probe16_f2,variant_probe16_f2,10,10,0,no_prior_phase:2,NO_TRADE:2,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_10kx:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=2; Outcome=NO_TRADE:2; RewardSumme=0.000000.
dio_1f4v:WAIT,dio_1f4v,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,2,2,variant_probe16_f2,variant_probe16_f2,11,11,0,no_prior_phase:2,NO_TRADE:2,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1f4v:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=2; Outcome=NO_TRADE:2; RewardSumme=0.000000.
dio_1g7l:WAIT,dio_1g7l,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,8,8,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1g7l:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1jo7:WAIT,dio_1jo7,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,17,17,0,no_prior_phase:2|separated_observation_contact:1,NO_TRADE:3,0,8.0,,0.0,0.0,0.809937,0.0,1.0,1,0,0,0,dio_1jo7:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1k0r:WAIT,dio_1k0r,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,2,2,variant_probe16_f2,variant_probe16_f2,9,9,0,no_prior_phase:2,NO_TRADE:2,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1k0r:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=2; Outcome=NO_TRADE:2; RewardSumme=0.000000.
dio_1q9b:WAIT,dio_1q9b,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,15,15,0,different_contact_afterimage:1|no_prior_phase:2,NO_TRADE:3,0,6.0,,0.0,0.0,0.76827,0.0,1.0,1,0,0,0,dio_1q9b:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1qig:WAIT,dio_1qig,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,6,6,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1qig:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1t73:WAIT,dio_1t73,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,3,variant_probe16_f2,variant_probe16_f2,14,14,0,different_contact_afterimage:1|no_prior_phase:2,NO_TRADE:3,0,5.0,,0.0,0.0,0.743562,0.0,1.0,1,0,0,0,dio_1t73:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1vjg:WAIT,dio_1vjg,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,2,2,variant_probe16_f2,variant_probe16_f2,13,13,0,no_prior_phase:2,NO_TRADE:2,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1vjg:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=2; Outcome=NO_TRADE:2; RewardSumme=0.000000.
dio_1w4m:WAIT,dio_1w4m,WAIT,fresh_local_episode_trace,1,variant_probe16_f2,3,5,variant_probe16_f2,variant_probe16_f2,12,18,6,no_prior_phase:4|separated_observation_contact:1,NO_TRADE:5,0,9.0,,0.0,0.0,0.845431,0.0,1.0,1,0,0,0,dio_1w4m:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f2; Episoden=5; Outcome=NO_TRADE:5; RewardSumme=0.000000.
