family,trace_notes,phases,phase_count,dominant_transition,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,reward_per_executed_run,avg_visual_mcm_alignment_trace,avg_tone_tension_resonance_trace,sensor_relation_count,bearing_neighbor_count,same_family_relation_count,max_sensor_relation_trace
dio_0a54,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|gleiche_familie_ueber_phasen,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",3,stable_observation,6,4,0,6,3.445308,0.574218,0.900395,0.691134,15,0,6,1.0
dio_0nmi,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,sensor_relation_probe2",2,observation_to_execution,4,1,0,4,6.770993,1.692748,0.97403,0.93153,18,8,2,0.982398
dio_1d6j,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,order_shift_varianz",2,observation_to_execution,5,3,0,5,4.768065,0.953613,0.991901,0.965502,23,6,2,0.972906
dio_14wi,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,observation_to_execution,5,3,0,5,4.496005,0.899201,0.952382,0.992479,26,10,2,1.0
dio_1alf,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,stable_observation,4,4,0,4,2.107256,0.526814,0.902341,0.760009,38,1,2,1.0
dio_01yf,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,sensor_relation_probe3",2,stable_observation,2,2,0,2,1.876634,0.938317,0.892988,0.973202,26,7,2,0.984001
dio_0rps,weltuebergreifend|beobachtet,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,stable_observation,0,8,0,0,0.0,0.0,0.990381,0.840068,26,0,0,1.0
dio_0v15,weltuebergreifend|beobachtet|nachhall_gehalten,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,raw_pressure_held,0,8,5,5,0.0,0.0,0.968457,0.852439,20,0,0,1.0
dio_1y2t,weltuebergreifend|beobachtet|nachhall_gehalten,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,stable_observation,0,8,4,4,0.0,0.0,0.97924,0.821653,24,0,0,1.0
dio_185j,weltuebergreifend|beobachtet,"order_shift,sensor_relation_probe3",2,stable_observation,0,6,0,0,0.0,0.0,0.911434,0.727585,28,0,0,0.993981
dio_1k0r,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe3,1,persistent_execution,3,0,0,3,4.7844,1.5948,0.963191,0.927646,9,5,0,0.979352
dio_0v36,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe4,1,persistent_execution,3,0,0,3,3.423192,1.141064,0.966106,0.946616,12,4,0,0.916602
dio_1ioc,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_varianz,1,observation_to_execution,2,2,0,2,3.339704,1.669852,0.9672,0.96177,10,6,0,0.965494
dio_121e,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,observation_to_execution,2,2,0,2,3.042412,1.521206,0.936537,0.951007,10,6,0,0.971246
dio_1mx6,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe3,1,observation_to_execution,2,2,0,2,2.572766,1.286383,0.927089,0.984706,10,6,0,0.982316
dio_1dmh,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe3,1,observation_to_execution,2,2,0,2,2.480166,1.240083,0.860532,0.561814,8,1,0,0.949627
dio_1uyk,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,observation_to_execution,2,2,0,2,2.46987,1.234935,0.93833,0.995162,10,6,0,0.982316
dio_0f4h,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,order_shift,1,persistent_execution,1,0,0,1,2.0,2.0,0.994056,0.939385,9,5,0,0.966829
dio_1h5i,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,observation_to_execution,1,2,0,1,1.652416,1.652416,0.966362,0.976322,10,5,0,0.9636
dio_1ax9,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,observation_to_execution,1,2,0,1,1.237693,1.237693,0.944146,0.887864,11,6,0,0.957034
dio_060l,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,observation_to_execution,1,3,0,1,1.190707,1.190707,0.971986,0.704945,4,2,0,0.922526
dio_0thk,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe3,1,observation_to_execution,1,3,0,1,1.156708,1.156708,0.96523,0.942704,10,4,0,0.968205
dio_0nm2,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe4,1,observation_to_execution,1,3,0,1,1.024116,1.024116,0.922335,0.690522,2,1,0,0.893394
dio_1sxo,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_varianz,1,observation_to_execution,1,1,0,1,0.993834,0.993834,0.801728,0.952709,7,1,0,0.956353
dio_0qb3,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,observation_to_execution,1,3,0,1,0.576544,0.576544,0.975347,0.977726,11,4,0,0.937362
dio_08wa,beobachtet,order_shift,1,stable_observation,0,4,0,0,0.0,0.0,0.886663,0.597352,5,0,0,0.951303
