family,relation_count,support_count,conflict_count,neutral_count,best_support_family,best_support_action,best_support_similarity,best_support_score,best_conflict_family,best_conflict_actions,best_conflict_similarity,best_conflict_score,support_ratio,conflict_ratio
dio_0byw,68,30,33,5,dio_052z,LONG,0.961049,1.18744,dio_0n4c,LONG/SHORT,0.9978,1.321475,0.441176,0.485294
dio_052z,68,30,33,5,dio_0byw,LONG,0.961049,1.18744,dio_0n4c,LONG/SHORT,0.942515,1.014524,0.441176,0.485294
dio_0n4c,68,32,31,5,dio_1r0h,SHORT,0.958533,1.069861,dio_0byw,SHORT/LONG,0.9978,1.321475,0.470588,0.455882
dio_1r0h,68,32,31,5,dio_0n4c,SHORT,0.958533,1.069861,dio_0byw,SHORT/LONG,0.940274,1.27699,0.470588,0.455882
dio_0lt6,68,32,31,5,dio_0fp8,SHORT,0.970988,1.011128,dio_0byw,SHORT/LONG,0.479538,0.63003,0.470588,0.455882
dio_0fp8,68,32,31,5,dio_0lt6,SHORT,0.970988,1.011128,dio_0irs,SHORT/LONG,0.553608,0.557167,0.470588,0.455882
dio_0v7w,68,32,31,5,dio_0w1v,SHORT,0.999848,1.00388,dio_0wsj,SHORT/LONG,0.531947,0.534239,0.470588,0.455882
dio_0w1v,68,32,31,5,dio_0v7w,SHORT,0.999848,1.00388,dio_01nf,SHORT/LONG,0.52628,0.526655,0.470588,0.455882
dio_1vb3,68,30,33,5,dio_0f4h,LONG,0.995722,1.001633,dio_074d,LONG/SHORT,0.879318,0.881416,0.441176,0.485294
dio_0f4h,68,30,33,5,dio_1vb3,LONG,0.995722,1.001633,dio_1144,LONG/SHORT,0.874427,0.880533,0.441176,0.485294
dio_0ifl,68,32,31,5,dio_0i5m,SHORT,0.999974,1.000553,dio_01nf,SHORT/LONG,0.95375,0.953949,0.470588,0.455882
dio_0i5m,68,32,31,5,dio_0ifl,SHORT,0.999974,1.000553,dio_01nf,SHORT/LONG,0.951674,0.952402,0.470588,0.455882
dio_0k53,68,30,33,5,dio_0f4h,LONG,0.992659,0.999916,dio_074d,LONG/SHORT,0.910107,0.912781,0.441176,0.485294
dio_1tg9,68,30,33,5,dio_0k53,LONG,0.993771,0.996669,dio_13wt,LONG/SHORT,0.896197,0.89861,0.441176,0.485294
dio_01xf,68,30,33,5,dio_1mml,LONG,0.994748,0.994884,dio_18iw,LONG/SHORT,0.755608,0.755657,0.441176,0.485294
dio_1mml,68,30,33,5,dio_01xf,LONG,0.994748,0.994884,dio_18iw,LONG/SHORT,0.712694,0.712864,0.441176,0.485294
dio_0nmi,68,30,33,5,dio_0f4h,LONG,0.992114,0.993617,dio_1144,LONG/SHORT,0.921446,0.92198,0.441176,0.485294
dio_0uct,68,30,33,5,dio_1mml,LONG,0.986924,0.990469,dio_18iw,LONG/SHORT,0.748908,0.750181,0.441176,0.485294
dio_19qg,68,32,31,5,dio_0av4,SHORT,0.987415,0.98805,dio_07mf,SHORT/LONG,0.655455,0.655677,0.470588,0.455882
dio_0av4,68,32,31,5,dio_19qg,SHORT,0.987415,0.98805,dio_07mf,SHORT/LONG,0.638093,0.639418,0.470588,0.455882
dio_1uez,68,30,33,5,dio_1vb3,LONG,0.980632,0.987352,dio_074d,LONG/SHORT,0.907236,0.914925,0.441176,0.485294
dio_1v23,68,30,33,5,dio_179o,LONG,0.984272,0.98709,dio_074d,LONG/SHORT,0.582581,0.583168,0.441176,0.485294
dio_179o,68,30,33,5,dio_1v23,LONG,0.984272,0.98709,dio_1iuq,LONG/SHORT,0.54421,0.547266,0.441176,0.485294
dio_0nv8,68,32,31,5,dio_0v36,SHORT,0.976786,0.98703,dio_01nf,SHORT/LONG,0.955814,0.958927,0.470588,0.455882
dio_0v36,68,32,31,5,dio_0nv8,SHORT,0.976786,0.98703,dio_01nf,SHORT/LONG,0.927338,0.928161,0.470588,0.455882
dio_0rh0,68,32,31,5,dio_00eh,SHORT,0.983428,0.984568,dio_1ieq,SHORT/LONG,0.844181,0.844794,0.470588,0.455882
dio_00eh,68,32,31,5,dio_0rh0,SHORT,0.983428,0.984568,dio_1ieq,SHORT/LONG,0.762137,0.763619,0.470588,0.455882
dio_01nf,68,30,33,5,dio_0wsj,LONG,0.983024,0.983772,dio_0nv8,LONG/SHORT,0.955814,0.958927,0.441176,0.485294
dio_0wsj,68,30,33,5,dio_01nf,LONG,0.983024,0.983772,dio_0vyd,LONG/SHORT,0.938154,0.940264,0.441176,0.485294
dio_0qb3,68,30,33,5,dio_18wf,LONG,0.981453,0.98156,dio_0nv8,LONG/SHORT,0.901303,0.901665,0.441176,0.485294
