family,rows,runs,states,trades,tp,sl,reward_sum,max_afterimage,max_recurrence_strength,max_temporal_trust_support,max_temporal_caution_support,avg_time_distance,memory_seen_count,memory_last_state,memory_max_afterimage,memory_max_trust_support,memory_max_caution_support
dio_16in,4,"[3, 4]","{'temporal_first_contact': 2, 'temporal_near_return': 1, 'temporal_far_return': 1}",2,2,0,2.0,0.162202,0.285714,0.657096,0.72,0.61458325,10,temporal_first_contact,0.1622023529411765,0.6570961482795604,0.72
dio_04jy,6,"[4, 5, 6]","{'temporal_first_contact': 3, 'temporal_near_return': 3}",0,0,0,0.0,0.112,0.166667,0.632226,0.72,0.5416665,6,temporal_near_return,0.11200000000000002,0.6322258289503249,0.72
dio_1bgr,5,"[3, 4, 5, 6]","{'temporal_first_contact': 4, 'temporal_near_return': 1}",2,2,0,2.0,0.112,0.166667,0.627587,0.72,0.8166665999999999,9,temporal_first_contact,0.11200000000000002,0.6275868561696039,0.72
dio_02jf,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_161r,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0jso,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_17o5,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_1u7q,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_06c2,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0635,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_15vo,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_018g,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_02tu,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_194c,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0tmw,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0o8k,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0rbo,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0cz8,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0hmv,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_1h53,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_13dt,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0o8c,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_1t6b,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_0j9l,4,"[3, 4, 5, 6]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,6,temporal_first_contact,0.0,0.0,0.72
dio_17y4,3,"[3, 5, 6]",{'temporal_first_contact': 3},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,5,temporal_first_contact,0.0,0.0,0.72
dio_17cm,3,"[4, 5, 6]",{'temporal_first_contact': 3},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,3,temporal_first_contact,0.0,0.0,0.72
dio_14ms,3,"[4, 5, 6]",{'temporal_first_contact': 3},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,3,temporal_first_contact,0.0,0.0,0.72
dio_11nf,3,"[4, 5, 6]",{'temporal_first_contact': 3},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,5,temporal_first_contact,0.0,0.0,0.72
dio_1km5,2,"[3, 4]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1iuq,2,"[3, 4]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1kc5,2,"[5, 6]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1jop,2,"[5, 6]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0eyx,1,[3],{'temporal_first_contact': 1},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,3,temporal_first_contact,0.0,0.0,0.72
