target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_0kpn,dio_0nmi,0.11504,0.88496,0.0,6.770993,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2",0,4,12,1
dio_0kpn,dio_0x52,0.443994,0.556006,0.0,3.99281,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,12,3
dio_0kpn,dio_09jn,0.447618,0.552382,0.0,4.693512,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,15,12,5
dio_0xgj,dio_0nmi,0.092204,0.907796,0.0,6.770993,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2",0,4,12,1
dio_0xgj,dio_0x52,0.429333,0.570667,0.0,3.99281,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,12,3
dio_0xgj,dio_14wi,0.432841,0.567159,0.0,4.496005,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat",0,5,12,3
dio_14mj,dio_14wi,0.017364,0.982636,7.185447,4.496005,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat",9,5,3,3
dio_14mj,dio_0x52,0.028501,0.971499,7.185447,3.99281,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",9,5,3,3
dio_14mj,dio_09jn,0.329257,0.670743,7.185447,4.693512,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",9,15,3,5
dio_1kqv,dio_09jn,0.113465,0.886535,0.0,4.693512,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,15,20,5
dio_1kqv,dio_1vm7,0.260959,0.739041,0.0,3.554517,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,3,20,2
dio_1kqv,dio_14mj,0.282508,0.717492,0.0,7.185447,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,9,20,3
dio_1tik,dio_0a54,0.104724,0.895276,3.63996,3.445308,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",8,6,4,4
dio_1tik,dio_0nmi,0.384794,0.615206,3.63996,6.770993,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2",8,4,4,1
dio_1tik,dio_0qb3,0.470357,0.529643,3.63996,5.353388,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",8,9,4,3
