inner_state,count,reward_sum,families
inner_carried,7,28.097542,"dio_0120,dio_0akd,dio_0arw,dio_0bmh,dio_0ems,dio_0t0v,dio_1u7v"
inner_open_observation,8,0.0,"dio_02qu,dio_0fiy,dio_0igh,dio_0x1o,dio_14xc,dio_16yc,dio_1g2t,dio_1qwp"
inner_unfinished,1,0.0,dio_00qb
inner_cautious,1,-1.712415,dio_1vpi
