inner_state,count,reward_sum,families
inner_carried,11,46.745616,"dio_0120,dio_04z7,dio_0akd,dio_0arw,dio_0bmh,dio_0ems,dio_0n9e,dio_0ofo,dio_0t0v,dio_1bwb,dio_1u7v"
inner_open_observation,17,0.0,"dio_02qu,dio_040y,dio_0fiy,dio_0fzl,dio_0igh,dio_0ps1,dio_0x1o,dio_10dk,dio_13u8,dio_14xc,dio_16yc,dio_1d1z,dio_1d3r,dio_1f9y,dio_1g2t,dio_1mym,dio_1qwp"
inner_unfinished,2,0.0,"dio_00qb,dio_1k7y"
inner_cautious,1,-1.712415,dio_1vpi
