target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_0eh8,dio_0nmi,reifende_verwandtschaft,0.073104,0.926896,1.485504,6.770993,2,5,4,1,matured_action_pattern,matured_action_pattern,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","order_shift,sensor_relation_probe2"
dio_14eb,dio_1vm7,reifende_verwandtschaft,0.108066,0.891934,8.524806,3.554517,6,2,3,2,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_14eb,dio_09jn,reifende_verwandtschaft,0.113349,0.886651,8.524806,4.693512,6,2,15,5,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0szn,dio_0qb3,reifende_verwandtschaft,0.13725,0.86275,2.086161,5.353388,3,5,9,3,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_0szn,dio_1d6j,reifende_verwandtschaft,0.22791,0.77209,2.086161,4.768065,3,5,5,3,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","order_shift,order_shift_varianz"
dio_0eh8,dio_1tik,reifende_verwandtschaft,0.423838,0.576162,1.485504,3.63996,2,5,8,4,matured_action_pattern,direct_mature_pattern,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0szn,dio_0nmi,reifende_verwandtschaft,0.434175,0.565825,2.086161,6.770993,3,5,4,1,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","order_shift,sensor_relation_probe2"
dio_0wv3,dio_0x52,vorsichtige_verwandtschaft,0.032785,0.967215,8.862795,3.99281,13,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0wv3,dio_14wi,vorsichtige_verwandtschaft,0.045175,0.954825,8.862795,4.496005,13,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0wv3,dio_14mj,vorsichtige_verwandtschaft,0.060046,0.939954,8.862795,7.185447,13,3,9,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_14eb,dio_0wv3,vorsichtige_verwandtschaft,0.353906,0.646094,8.524806,8.862795,6,2,13,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat"
dio_0eh8,dio_0wv3,vorsichtige_verwandtschaft,0.433831,0.566169,1.485504,8.862795,2,5,13,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat"
