tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,better_entry_training,score_wait,score_long,score_short,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767240300000000,dio_0n4chhv,dio_0n4c,SHORT,SHORT,0,1.000000,9999,0.000000,1.000000,none,SHORT,1.469492,1.469492,100.18000000,0.048434,-0.078251,0.071761,-0.066707,1.000000,-0.133413,0.038969,0.142857,0.989089,0.065730,-0.040804
6,1767241800000000,dio_07mfifw,dio_07mf,WAIT,WAIT,0,0.520974,5,0.000000,1.000000,different_contact,LONG,0.000000,0.308413,97.94000000,0.059827,-0.052448,-0.083825,-1.000000,0.000000,-0.230683,0.241370,-0.056818,0.332416,0.558285,-0.626728
7,1767242100000000,dio_0uctcgp,dio_0uct,WAIT,WAIT,0,0.413922,6,0.000000,1.000000,different_contact,LONG,0.000000,0.956362,97.82000000,0.052776,0.025108,-0.083119,-1.000000,1.000000,0.639474,-0.085677,-0.388601,0.976010,0.558300,-0.484247
8,1767242400000000,dio_179omz0,dio_179o,LONG,LONG,0,0.611729,7,0.000000,1.000000,different_contact,LONG,1.431863,1.431863,97.82000000,0.058155,0.063645,-0.083603,-0.772071,0.000000,0.667965,-0.333679,-0.376884,0.306570,0.571289,-0.347425
