symbol_family,probe,probe_kipp_state,left_episode_count,right_episode_count,episode_count_delta,left_dominant_best_action,right_dominant_best_action,left_dominant_observation_action,right_dominant_observation_action,best_reward_training_delta,trade_readiness_delta,left_dominant_neuro_tone,right_dominant_neuro_tone,left_dominant_temporal_state,right_dominant_temporal_state,left_avg_best_reward_training,right_avg_best_reward_training,left_avg_trade_readiness,right_avg_trade_readiness,left_avg_fuehlen_mcm_coherence,right_avg_fuehlen_mcm_coherence,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_005q,probe20,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,1.0,0.002851,-,observation_tone,-,temporal_first_contact,0.0,1.0,0.0,0.002851,0.0,0.301981,True,False,False,False,False,False,False,False
dio_005q,probe22,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,1.0,0.0142645,-,focus_tone,-,temporal_first_contact,0.0,1.0,0.0,0.0142645,0.0,0.301556,True,False,False,False,False,False,False,False
dio_005q,probe24,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,0.0227715,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.002948,0.0257195,0.380095,0.309913,True,False,False,False,False,False,False,False
dio_005q,probe25,probe_lived_support_drop,2,0,-2,LONG,-,LONG,-,-1.0,-0.01053,observation_tone,-,temporal_first_contact,-,1.0,0.0,0.01053,0.0,0.292857,0.0,True,False,False,False,False,False,False,False
dio_01sj,probe25,probe_lived_support_drop,2,0,-2,LONG,-,LONG,-,-1.0,-0.0038065,focus_tone,-,temporal_first_contact,-,1.0,0.0,0.0038065,0.0,0.903076,0.0,True,False,False,False,False,False,False,False
dio_01sj,probe26,probe_trade_readiness_softens,2,2,0,LONG,LONG,LONG,LONG,0.0,-0.015235,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0190965,0.0038615,0.906114,0.905209,True,False,False,False,False,False,False,False
dio_01w7,probe20,probe_lived_support_drop,2,0,-2,LONG,-,LONG,-,-1.0,-0.00414,focus_tone,-,temporal_first_contact,-,1.0,0.0,0.00414,0.0,0.948303,0.0,True,False,False,False,False,False,False,False
dio_01w7,probe22,probe_lived_support_drop,2,0,-2,LONG,-,LONG,-,-1.0,-0.020729,focus_tone,-,temporal_first_contact,-,1.0,0.0,0.020729,0.0,0.960405,0.0,True,False,False,False,False,False,False,False
dio_01w7,probe26,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,1.0,0.00409,-,focus_tone,-,temporal_first_contact,0.0,1.0,0.0,0.00409,0.0,0.956046,True,False,False,False,False,False,False,False
dio_03yz,probe20,probe_lived_support_drop,2,0,-2,LONG,-,LONG,-,-0.484461,-0.000779,observation_tone,-,temporal_first_contact,-,0.484461,0.0,0.000779,0.0,-0.215228,0.0,True,False,False,False,False,False,False,False
dio_03yz,probe22,probe_lived_support_drop,2,0,-2,LONG,-,LONG,-,-0.495427,-0.003904,observation_tone,-,temporal_first_contact,-,0.495427,0.0,0.003904,0.0,-0.214327,0.0,True,False,False,False,False,False,False,False
dio_03yz,probe25,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,0.496743,0.000781,-,observation_tone,-,temporal_first_contact,0.0,0.496743,0.0,0.000781,0.0,-0.21724,True,False,False,False,False,False,False,False
dio_03yz,probe26,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,0.511364,0.003946,-,observation_tone,-,temporal_first_contact,0.0,0.511364,0.0,0.003946,0.0,-0.216779,True,False,False,False,False,False,False,False
dio_05ws,probe20,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,1.0,0.004307,-,focus_tone,-,temporal_first_contact,0.0,1.0,0.0,0.004307,0.0,0.99932,True,False,False,False,False,False,False,False
dio_05ws,probe22,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,0.0172455,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0043095,0.021555,0.994552,0.998166,True,False,False,False,False,False,False,False
dio_05ws,probe23,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,1.0,0.038805,-,focus_tone,-,temporal_first_contact,0.0,1.0,0.0,0.038805,0.0,0.983351,True,False,False,False,False,False,False,False
dio_05ws,probe24,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,0.034383,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0215715,0.0559545,0.99999,0.995662,True,False,False,False,False,False,False,False
dio_05ws,probe25,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,-,1.0,0.084059,-,relief_tone,-,temporal_first_contact,0.0,1.0,0.0,0.084059,0.0,0.991903,True,False,False,False,False,False,False,False
dio_05ws,probe26,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,-,1.0,0.239224,-,relief_tone,-,temporal_first_contact,0.0,1.0,0.0,0.239224,0.0,0.993603,True,False,False,False,False,False,False,False
dio_06b8,probe20,probe_neuro_tone_reorganizes,0,2,2,-,LONG,-,LONG,1.0,0.001666,-,observation_tone,-,temporal_first_contact,0.0,1.0,0.0,0.001666,0.0,-0.228465,True,False,False,False,False,False,False,False
