symbol_family,family_temporal_kipp_state,first_kipp_probe,first_kipp_state,probe_state_path,direction_support_state,alignment_state,left_text_island_symbol,right_text_island_symbol,score_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_1ytc,family_best_reward_softens,probe21,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1j0fpv7,dio_text_1j0fpv7,-0.276666666,True,False,False,False,False,False,False,False
dio_0gmg,family_has_direction_flip,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_direction_flip -> probe_direction_flip -> probe_lived_support_drop -> probe_direction_flip,direction_support_flips,near_mcm_field_with_sensory_variation,dio_text_1y79hw9,dio_text_1y79hw9,-0.276666666,True,False,False,False,False,False,False,False
dio_0t27,family_has_direction_flip,probe22,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_direction_flip,same_sensory_field_direction_reward_weakens,same_sensory_field_visible,dio_text_1j80ia3,dio_text_1j80ia3,-0.276666666,True,False,False,False,False,False,False,False
dio_1jba,family_has_direction_flip,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_direction_flip -> probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_153gn8y,dio_text_153gn8y,-0.276666666,True,False,False,False,False,False,False,False
dio_005q,family_loses_lived_support,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_no_visible_kipp -> probe_lived_support_drop,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_1qox452,dio_text_1qox452,-0.276666666,True,False,False,False,False,False,False,False
dio_01sj,family_loses_lived_support,probe25,probe_lived_support_drop,probe_lived_support_drop -> probe_trade_readiness_softens,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_l4qsr6,dio_text_l4qsr6,-0.276666666,True,False,False,False,False,False,False,False
dio_01w7,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop -> probe_neuro_tone_reorganizes,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_149kk0l,dio_text_149kk0l,-0.276666666,True,False,False,False,False,False,False,False
dio_03yz,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_es8kma,dio_text_es8kma,-0.276666666,True,False,False,False,False,False,False,False
dio_06b8,family_loses_lived_support,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1mdfmx0,dio_text_1mdfmx0,-0.276666666,True,False,False,False,False,False,False,False
dio_06gy,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_trade_readiness_softens -> probe_lived_support_drop,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_49bo5i,dio_text_49bo5i,-0.276666666,True,False,False,False,False,False,False,False
dio_095l,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_ta4qe,dio_text_ta4qe,-0.276666666,True,False,False,False,False,False,False,False
dio_09u3,family_loses_lived_support,probe24,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_hcsd1z,dio_text_hcsd1z,-0.276666666,True,False,False,False,False,False,False,False
dio_0bm2,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop -> probe_trade_readiness_softens -> probe_neuro_tone_reorganizes,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_165ur45,dio_text_165ur45,-0.276666666,True,False,False,False,False,False,False,False
dio_0ft4,family_loses_lived_support,probe25,probe_best_reward_softens,probe_best_reward_softens -> probe_lived_support_drop,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_1udw1m6,dio_text_1udw1m6,-0.276666666,True,False,False,False,False,False,False,False
dio_0g9z,family_loses_lived_support,probe22,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop -> probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_4aw9au,dio_text_4aw9au,-0.276666666,True,False,False,False,False,False,False,False
dio_0ksa,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_lived_support_drop,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_sg6q7d,dio_text_sg6q7d,-0.276666666,True,False,False,False,False,False,False,False
dio_0l9d,family_loses_lived_support,probe21,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_qtr0m5,dio_text_qtr0m5,-0.276666666,True,False,False,False,False,False,False,False
dio_0o73,family_loses_lived_support,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1nd8ac7,dio_text_1uruo2z,-0.283333333,True,False,False,False,False,False,False,False
dio_0pni,family_loses_lived_support,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1jdlpx1,dio_text_1jdlpx1,-0.276666666,True,False,False,False,False,False,False,False
dio_0q96,family_loses_lived_support,probe20,probe_trade_readiness_softens,probe_trade_readiness_softens -> probe_lived_support_drop -> probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_sagras,dio_text_sagras,-0.276666666,True,False,False,False,False,False,False,False
dio_0w16,family_loses_lived_support,probe21,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_1y45cf6,dio_text_1y45cf6,-0.276666666,True,False,False,False,False,False,False,False
dio_0x52,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop -> probe_trade_readiness_softens -> probe_lived_support_drop,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_1456g6j,dio_text_1456g6j,-0.276666666,True,False,False,False,False,False,False,False
dio_0z2v,family_loses_lived_support,probe22,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_gnx1h,dio_text_7nc4jm,-0.283333333,True,False,False,False,False,False,False,False
dio_108f,family_loses_lived_support,probe23,probe_lived_support_drop,probe_lived_support_drop,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_wmjdu3,dio_text_wmjdu3,-0.276666666,True,False,False,False,False,False,False,False
dio_140n,family_loses_lived_support,probe21,probe_lived_support_drop,probe_lived_support_drop -> probe_trade_readiness_softens -> probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1fmhwrb,dio_text_1fmhwrb,-0.276666666,True,False,False,False,False,False,False,False
dio_14eb,family_loses_lived_support,probe21,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1i6wmzu,dio_text_1i6wmzu,-0.276666666,True,False,False,False,False,False,False,False
dio_15lu,family_loses_lived_support,probe21,probe_best_reward_softens,probe_best_reward_softens -> probe_lived_support_drop,same_sensory_field_direction_reward_weakens,same_sensory_field_visible,dio_text_ntwlxl,dio_text_ntwlxl,-0.276666666,True,False,False,False,False,False,False,False
dio_17ny,family_loses_lived_support,probe22,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_zqjhxt,dio_text_zqjhxt,-0.276666666,True,False,False,False,False,False,False,False
dio_19bg,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop -> probe_lived_support_drop -> probe_trade_readiness_softens,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_14eizb9,dio_text_14eizb9,-0.276666666,True,False,False,False,False,False,False,False
dio_1a1w,family_loses_lived_support,probe23,probe_lived_support_drop,probe_lived_support_drop,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_vwzveq,dio_text_vwzveq,-0.276666666,True,False,False,False,False,False,False,False
dio_1ekr,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop -> probe_lived_support_drop -> probe_lived_support_drop,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_1mvaeuf,dio_text_1mvaeuf,-0.276666666,True,False,False,False,False,False,False,False
dio_1f9y,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_best_reward_softens -> probe_trade_readiness_softens -> probe_lived_support_drop,same_sensory_field_less_lived_direction_support,same_sensory_field_but_less_lived_support,dio_text_qxbcil,dio_text_qxbcil,-0.276666666,True,False,False,False,False,False,False,False
dio_1ffn,family_loses_lived_support,probe22,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_tsjbnf,dio_text_1fs0gg9,-0.27,True,False,False,False,False,False,False,False
dio_1i05,family_loses_lived_support,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1l6ux1l,dio_text_1fs0gg9,-0.27,True,False,False,False,False,False,False,False
dio_1im7,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_trade_readiness_softens -> probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_pt4dv2,dio_text_pt4dv2,-0.276666666,True,False,False,False,False,False,False,False
dio_1jgc,family_loses_lived_support,probe22,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_no_visible_kipp -> probe_lived_support_drop -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_16qwab5,dio_text_16qwab5,-0.276666666,True,False,False,False,False,False,False,False
dio_1lg2,family_loses_lived_support,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_13ycr5k,dio_text_13ycr5k,-0.276666666,True,False,False,False,False,False,False,False
dio_1mrs,family_loses_lived_support,probe24,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_176pb39,dio_text_u0lq7x,-0.283333333,True,False,False,False,False,False,False,False
dio_1o2b,family_loses_lived_support,probe23,probe_lived_support_drop,probe_lived_support_drop -> probe_lived_support_drop,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_14cjsrg,dio_text_14cjsrg,-0.276666666,True,False,False,False,False,False,False,False
dio_1pvx,family_loses_lived_support,probe21,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_lived_support_drop,direction_support_flips,same_sensory_field_visible,dio_text_1d10jqz,dio_text_1d10jqz,-0.276666666,True,False,False,False,False,False,False,False
dio_1vz0,family_loses_lived_support,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop,direction_support_reorganized,near_mcm_field_with_sensory_variation,dio_text_1puiyhl,dio_text_1puiyhl,-0.276666666,True,False,False,False,False,False,False,False
dio_1wx6,family_loses_lived_support,probe23,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_lived_support_drop,direction_support_flips,syntax_survives_but_context_changed,dio_text_vq0lte,dio_text_vq0lte,-0.276666666,True,False,False,False,False,False,False,False
dio_1xfl,family_loses_lived_support,probe20,probe_lived_support_drop,probe_lived_support_drop -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_h6tosf,dio_text_h6tosf,-0.276666666,True,False,False,False,False,False,False,False
dio_05ws,family_neuro_temporal_reorganizes,probe20,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_no_visible_kipp -> probe_neuro_tone_reorganizes -> probe_no_visible_kipp -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_18ku4h1,dio_text_18ku4h1,-0.276666666,True,False,False,False,False,False,False,False
dio_07t9,family_neuro_temporal_reorganizes,probe26,probe_neuro_tone_reorganizes,probe_no_visible_kipp -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1iy6mgi,dio_text_1iy6mgi,-0.276666666,True,False,False,False,False,False,False,False
