left_family,right_family,left_episodes,right_episodes,left_reife_state,right_reife_state,reife_state_relation,left_neuro_tone,right_neuro_tone,neuro_tone_relation,left_action,right_action,action_relation,sense_distance,sense_similarity,mcm_distance,mcm_similarity,hearing_distance,hearing_similarity,temporal_distance,temporal_similarity,neuro_distance,neuro_similarity,reflection_distance,reflection_similarity,reife_distance,reife_similarity,meaning_distance,meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,neighbor_state,dio_neighbor_sentence
dio_0892,dio_0r5x,6,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.006718,0.999639,0.001713,0.999977,0.009801,0.999232,0.0,1.0,9e-05,1.0,4.6e-05,1.0,0.0,1.0,0.003181,0.999919,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0892+dio_0r5x: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1tsz,dio_05ws,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.007567,0.999542,0.004985,0.999801,0.003847,0.999882,0.0,1.0,0.00093,0.999993,0.000431,0.999999,0.0,1.0,0.003539,0.9999,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1tsz+dio_05ws: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0z2v,dio_106w,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.007872,0.999505,0.005915,0.99972,0.002135,0.999964,0.0,1.0,0.000734,0.999996,0.000611,0.999997,0.0,1.0,0.003598,0.999896,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0z2v+dio_106w: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0xkp,dio_1958,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.008513,0.999421,0.004379,0.999847,0.003341,0.999911,0.0,1.0,0.001504,0.999982,0.000151,1.0,0.0,1.0,0.00363,0.999895,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0xkp+dio_1958: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_03em,dio_0mod,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.00874,0.999389,0.003421,0.999906,0.007023,0.999606,0.0,1.0,0.001315,0.999986,0.000413,0.999999,0.0,1.0,0.00391,0.999878,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_03em+dio_0mod: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1i05,dio_1xfl,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.007692,0.999527,0.002813,0.999937,0.012722,0.998707,0.0,1.0,0.001161,0.999989,0.000302,0.999999,0.0,1.0,0.004178,0.99986,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1i05+dio_1xfl: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0jx1,dio_1qt4,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.010937,0.999044,0.005712,0.999739,0.006694,0.999642,0.0,1.0,3.6e-05,1.0,0.000479,0.999998,0.0,1.0,0.004728,0.999821,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0jx1+dio_1qt4: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_17y9,dio_1im7,4,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.009075,0.999342,0.004404,0.999845,0.011645,0.998916,0.0,1.0,0.001391,0.999985,0.000407,0.999999,0.0,1.0,0.004772,0.999818,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_17y9+dio_1im7: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0bde,dio_1vz0,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.011286,0.998982,0.004776,0.999818,0.009699,0.999248,0.0,1.0,0.000257,0.999999,0.000851,0.999994,0.0,1.0,0.005027,0.999798,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0bde+dio_1vz0: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1hzg,dio_1pen,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.008096,0.999476,0.007268,0.999578,0.009877,0.99922,0.0,1.0,0.002204,0.999961,0.000637,0.999997,0.0,1.0,0.005087,0.999793,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1hzg+dio_1pen: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1del,dio_00fq,10,4,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.014722,0.998269,0.004318,0.999851,0.008122,0.999473,0.0,1.0,0.000857,0.999994,0.0009,0.999994,0.0,1.0,0.00565,0.999745,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1del+dio_00fq: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0j6l,dio_1fbp,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.01431,0.998364,0.00544,0.999763,0.010434,0.99913,0.0,1.0,0.001406,0.999984,0.001001,0.999992,0.0,1.0,0.00616,0.999696,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0j6l+dio_1fbp: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0g9z,dio_0h3x,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.010891,0.999052,0.010531,0.999114,0.007403,0.999562,0.0,1.0,0.002494,0.99995,0.000484,0.999998,0.0,1.0,0.006207,0.999692,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0g9z+dio_0h3x: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_095l,dio_1958,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.009274,0.999312,0.008793,0.999382,0.013851,0.998468,0.0,1.0,0.002606,0.999946,0.000531,0.999998,0.0,1.0,0.00623,0.99969,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_095l+dio_1958: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0bkt,dio_1qmr,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.020957,0.996499,0.003001,0.999928,0.003643,0.999894,0.0,1.0,0.000618,0.999997,0.001228,0.999988,0.0,1.0,0.006312,0.999681,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0bkt+dio_1qmr: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0z2v,dio_0bde,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.011374,0.998966,0.008093,0.999476,0.011425,0.998957,0.0,1.0,0.003545,0.999899,0.001076,0.999991,0.0,1.0,0.006463,0.999666,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0z2v+dio_0bde: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_16ry,dio_1a1a,6,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.013232,0.998601,0.006592,0.999653,0.014238,0.998381,0.0,1.0,0.002425,0.999953,0.000719,0.999996,0.0,1.0,0.006731,0.999638,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_16ry+dio_1a1a: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1awd,dio_09xu,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.014651,0.998286,0.003877,0.99988,0.019487,0.996971,0.0,1.0,0.000502,0.999998,0.000735,0.999996,0.0,1.0,0.006837,0.999626,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1awd+dio_09xu: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1a1a,dio_1vz0,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.014838,0.998242,0.003532,0.9999,0.020672,0.996593,0.0,1.0,0.000234,1.0,0.000192,1.0,0.0,1.0,0.006867,0.999623,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1a1a+dio_1vz0: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0pca,dio_0w16,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.014553,0.998308,0.004706,0.999823,0.017895,0.997445,0.0,1.0,0.002348,0.999956,0.000722,0.999996,0.0,1.0,0.007062,0.999601,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0pca+dio_0w16: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_095l,dio_0xkp,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.012734,0.998704,0.009777,0.999236,0.01051,0.999117,0.0,1.0,0.00411,0.999865,0.000682,0.999996,0.0,1.0,0.007098,0.999597,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_095l+dio_0xkp: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_13di,dio_14xc,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.01603,0.997949,0.005999,0.999712,0.014935,0.998219,0.0,1.0,0.002374,0.999955,0.000703,0.999996,0.0,1.0,0.007348,0.999568,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_13di+dio_14xc: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_16xo,dio_1lj9,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.012394,0.998773,0.009465,0.999284,0.014293,0.998368,0.0,1.0,0.003621,0.999895,0.001117,0.99999,0.0,1.0,0.007368,0.999566,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_16xo+dio_1lj9: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_09u3,dio_1im7,4,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.013156,0.998617,0.010392,0.999137,0.01473,0.998267,0.0,1.0,0.000789,0.999995,0.000809,0.999995,0.0,1.0,0.007387,0.999564,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_09u3+dio_1im7: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0r5x,dio_1pen,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.0136,0.998522,0.009465,0.999284,0.012932,0.998664,0.0,1.0,0.00295,0.99993,0.001006,0.999992,0.0,1.0,0.007392,0.999563,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0r5x+dio_1pen: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0adc,dio_1ing,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.015581,0.998062,0.006395,0.999673,0.015429,0.998099,0.0,1.0,0.002457,0.999952,0.000787,0.999995,0.0,1.0,0.007405,0.999562,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0adc+dio_1ing: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_168n,dio_140n,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.012115,0.998827,0.010816,0.999065,0.015277,0.998136,0.0,1.0,0.001689,0.999977,0.000615,0.999997,0.0,1.0,0.007406,0.999561,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_168n+dio_140n: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0adc,dio_13p1,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.011109,0.999014,0.005662,0.999744,0.02807,0.993736,0.0,1.0,0.000862,0.999994,0.000434,0.999998,0.0,1.0,0.007436,0.999558,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0adc+dio_13p1: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0v3a,dio_1mni,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.015003,0.998203,0.004284,0.999853,0.023078,0.995758,0.0,1.0,0.000827,0.999995,0.000417,0.999999,0.0,1.0,0.007462,0.999555,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0v3a+dio_1mni: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0w16,dio_13di,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.012456,0.99876,0.008453,0.999429,0.018706,0.997208,0.0,1.0,0.002343,0.999956,0.00073,0.999996,0.0,1.0,0.00748,0.999553,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0w16+dio_13di: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0bde,dio_106w,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.014679,0.998279,0.009646,0.999256,0.011285,0.998982,0.0,1.0,0.002814,0.999937,0.001146,0.99999,0.0,1.0,0.007485,0.999552,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0bde+dio_106w: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0892,dio_1pen,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.012254,0.9988,0.009885,0.999219,0.015802,0.998006,0.0,1.0,0.002996,0.999928,0.001005,0.999992,0.0,1.0,0.007512,0.999549,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0892+dio_1pen: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0alq,dio_105u,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.013373,0.998571,0.009679,0.999251,0.015754,0.998018,0.0,1.0,0.001792,0.999974,0.000556,0.999998,0.0,1.0,0.007525,0.999547,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0alq+dio_105u: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0lyl,dio_1a3i,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.012554,0.998741,0.010167,0.999174,0.016391,0.997855,0.0,1.0,0.002698,0.999942,0.000238,1.0,0.0,1.0,0.007613,0.999537,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0lyl+dio_1a3i: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0o3g,dio_1tj7,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.013615,0.998519,0.009402,0.999293,0.016156,0.997916,0.0,1.0,0.002167,0.999962,0.000722,0.999996,0.0,1.0,0.007636,0.999534,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0o3g+dio_1tj7: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0oah,dio_10mi,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.014683,0.998278,0.008671,0.999399,0.016842,0.997736,0.0,1.0,0.001219,0.999988,0.000969,0.999992,0.0,1.0,0.007701,0.999526,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0oah+dio_10mi: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_13cn,dio_1m6t,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.016606,0.997799,0.008296,0.99945,0.013832,0.998472,0.0,1.0,0.001296,0.999987,0.000675,0.999996,0.0,1.0,0.007706,0.999525,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_13cn+dio_1m6t: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_13di,dio_1mhq,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.013813,0.998476,0.009522,0.999275,0.017138,0.997656,0.0,1.0,0.001905,0.999971,0.001113,0.99999,0.0,1.0,0.007822,0.999511,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_13di+dio_1mhq: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_12g8,dio_1x64,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.015895,0.997983,0.008196,0.999463,0.014983,0.998207,0.0,1.0,0.002523,0.999949,0.000808,0.999995,0.0,1.0,0.007834,0.999509,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_12g8+dio_1x64: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_16ry,dio_1vz0,6,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.013391,0.998567,0.007559,0.999543,0.021167,0.996428,0.0,1.0,0.002588,0.999946,0.00077,0.999995,0.0,1.0,0.007841,0.999508,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_16ry+dio_1vz0: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_13ek,dio_13p1,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.010712,0.999083,0.006758,0.999635,0.029445,0.993111,0.0,1.0,0.001983,0.999969,0.000958,0.999993,0.0,1.0,0.007945,0.999495,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_13ek+dio_13p1: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_14xc,dio_1mhq,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.015337,0.998122,0.007857,0.999506,0.019835,0.996862,0.0,1.0,0.000595,0.999997,0.000922,0.999993,0.0,1.0,0.007947,0.999495,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_14xc+dio_1mhq: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1del,dio_0wnz,10,8,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.012618,0.998728,0.003223,0.999917,0.033193,0.991263,0.0,1.0,0.001536,0.999981,0.000325,0.999999,0.0,1.0,0.007962,0.999493,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1del+dio_0wnz: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0us2,dio_1x64,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.012365,0.998778,0.012053,0.998839,0.014606,0.998296,0.0,1.0,0.003737,0.999888,0.001092,0.99999,0.0,1.0,0.007983,0.99949,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0us2+dio_1x64: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0wnz,dio_05k3,8,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.014388,0.998347,0.005575,0.999751,0.0274,0.99403,0.0,1.0,0.000826,0.999995,0.00045,0.999998,0.0,1.0,0.008119,0.999473,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0wnz+dio_05k3: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_16qb,dio_1nvu,6,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.014146,0.998402,0.008793,0.999382,0.021395,0.996351,0.0,1.0,0.001953,0.999969,0.00056,0.999997,0.0,1.0,0.008215,0.99946,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_16qb+dio_1nvu: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_118t,dio_12b2,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.020699,0.996584,0.009991,0.999202,0.004018,0.999871,0.0,1.0,0.005125,0.99979,0.001515,0.999982,0.0,1.0,0.008487,0.999424,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_118t+dio_12b2: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_11bp,dio_15r6,4,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.018269,0.997337,0.00991,0.999215,0.015704,0.998031,0.0,1.0,0.000394,0.999999,9.7e-05,1.0,0.0,1.0,0.008512,0.999421,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_11bp+dio_15r6: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0xn0,dio_12im,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.014391,0.998346,0.012797,0.998692,0.014173,0.998396,0.0,1.0,0.003473,0.999903,0.001046,0.999991,0.0,1.0,0.00854,0.999417,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0xn0+dio_12im: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_11bp,dio_002s,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.011989,0.998851,0.009633,0.999258,0.025599,0.994785,0.0,1.0,0.003281,0.999914,0.001472,0.999983,0.0,1.0,0.008646,0.999402,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_11bp+dio_002s: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0hd3,dio_0w16,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.019936,0.99683,0.013287,0.99859,0.006407,0.999672,0.0,1.0,0.000746,0.999996,0.000971,0.999992,0.0,1.0,0.008659,0.999401,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0hd3+dio_0w16: gleiche passive Bedeutungsinsel, ohne Handlung."
