symbol_family,count,best_reward_sum,best_reward_avg,best_reward_max,dominant_best_action,long_count,short_count,executed_aligned_count,executed_aligned_reward,observation_to_execution_state,runs,ticks
dio_1vp3,3,0.491139,0.163713,0.163713,LONG,3,0,0,0.0,observed_only,"130,131,132","18,18,18"
dio_0avw,2,0.488028,0.244014,0.244014,SHORT,0,2,0,0.0,observed_only,"129,130","11,11"
