run,candles,episodes,trades,waits,long_trades,short_trades,total_reward,avg_reward,unique_symbols,actionable_seen,correct_action_when_actionable,trade_density,raw_trade_pressure,phase_suppressed,compressed_contacts,top_long_family,top_long_trust,top_long_count,top_short_family,top_short_trust,top_short_count,report_path
1,18,12,0,12,0,0,0.0,0.0,12,11,0,0.0,0,0,0,dio_0byw,0.08,1,dio_0zlr,0.049196,1,debug\dio_mini_binding_ref\dio_mini_lauf_1\mini_report.json
2,18,12,0,12,0,0,0.0,0.0,12,11,0,0.0,0,0,0,dio_0byw,0.1536,2,dio_0zlr,0.094456,2,debug\dio_mini_binding_ref\dio_mini_lauf_2\mini_report.json
3,18,5,2,3,1,1,3.758544,0.751709,5,4,2,0.4,2,0,0,dio_0byw,0.408741,3,dio_14zx,0.379055,3,debug\dio_mini_binding_ref\dio_mini_lauf_3\mini_report.json
4,18,4,2,2,1,1,2.686201,0.67155,4,3,2,0.5,2,0,0,dio_0byw,0.628163,4,dio_14zx,0.379055,3,debug\dio_mini_binding_ref\dio_mini_lauf_4\mini_report.json
5,18,4,2,2,1,1,2.686201,0.67155,4,3,2,0.5,2,0,0,dio_0byw,0.816865,5,dio_14zx,0.379055,3,debug\dio_mini_binding_ref\dio_mini_lauf_5\mini_report.json
6,18,4,2,2,1,1,2.686201,0.67155,4,3,2,0.5,3,1,1,dio_0byw,0.97915,6,dio_14zx,0.379055,3,debug\dio_mini_binding_ref\dio_mini_lauf_6\mini_report.json
