family_action,symbol_family,action,freshness_state,source_count,source_labels,run_count,episode_count,first_source,last_source,first_tick,last_tick,tick_span,phase_time_states,outcome_events,phase_active_count,avg_finite_phase_age,avg_bars_held,event_reward_sum,avg_event_reward,avg_phase_distance,avg_binding_pressure,avg_release_pressure,passive_only,influences_action,is_gate,is_motoric,time_summary_sentence
dio_0qrm:SHORT,dio_0qrm,SHORT,fresh_local_episode_trace,1,probe7_f2,3,3,probe7_f2,probe7_f2,13,13,0,executed_temporal_contact:3,TP:3,0,7.0,3.0,3.0,1.0,0.397694,0.0,1.0,1,0,0,0,dio_0qrm:SHORT: fresh_local_episode_trace; Quellen=probe7_f2; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0u8f:LONG,dio_0u8f,LONG,fresh_local_episode_trace,1,probe7_f2,3,3,probe7_f2,probe7_f2,6,6,0,executed_temporal_contact:3,TP:3,0,5.0,1.0,3.0,1.0,0.467543,0.0,1.0,1,0,0,0,dio_0u8f:LONG: fresh_local_episode_trace; Quellen=probe7_f2; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0x52:SHORT,dio_0x52,SHORT,fresh_local_episode_trace,1,probe7_f2,3,3,probe7_f2,probe7_f2,1,1,0,no_prior_phase:3,TP:3,0,,2.0,3.0,1.0,1.0,0.0,1.0,1,0,0,0,dio_0x52:SHORT: fresh_local_episode_trace; Quellen=probe7_f2; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0lyu:WAIT,dio_0lyu,WAIT,fresh_local_episode_trace,1,probe7_f2,3,3,probe7_f2,probe7_f2,11,11,0,different_contact_afterimage:3,NO_TRADE:3,0,5.0,,0.0,0.0,0.534916,0.0,1.0,1,0,0,0,dio_0lyu:WAIT: fresh_local_episode_trace; Quellen=probe7_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_19i4:WAIT,dio_19i4,WAIT,fresh_local_episode_trace,1,probe7_f2,3,3,probe7_f2,probe7_f2,12,12,0,different_contact_afterimage:3,NO_TRADE:3,0,6.0,,0.0,0.0,0.426817,0.0,1.0,1,0,0,0,dio_19i4:WAIT: fresh_local_episode_trace; Quellen=probe7_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_19p6:WAIT,dio_19p6,WAIT,fresh_local_episode_trace,1,probe7_f2,3,3,probe7_f2,probe7_f2,18,18,0,different_contact_afterimage:3,NO_TRADE:3,0,5.0,,0.0,0.0,0.547424,0.0,1.0,1,0,0,0,dio_19p6:WAIT: fresh_local_episode_trace; Quellen=probe7_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
