symbol_family,field,count,min,max,range,avg,stability,passive_only,influences_action
dio_12jm,sehen_form_stability,6,0.0,0.0,0.0,0.0,stable,True,False
dio_12jm,hoeren_energy_tone,6,0.151574,0.164484,0.01291,0.156362,stable,True,False
dio_12jm,fuehlen_mcm_coherence,6,0.353945,0.357559,0.003614,0.356219,stable,True,False
dio_12jm,fuehlen_mcm_tension,6,0.391888,0.400607,0.008719,0.397018,stable,True,False
dio_12jm,reflection_context_carry,6,0.259075,0.271989,0.012914,0.263797,stable,True,False
dio_12jm,reflection_context_strain,6,0.257438,0.261625,0.004187,0.260038,stable,True,False
dio_12jm,reflection_context_alignment,6,0.899299,0.926227,0.026928,0.915913,soft_variant,True,False
