reflection_state,count,event_reward_sum,episode_count,actions,variants
burden_is_warning_not_gate,1,-1.0,1,-,"probe14_f2,probe16_f2,probe17_f3"
direction_can_be_locally_carried,2,12.0,12,"LONG,SHORT","probe14_f2,probe17_f3"
stable_variant_map_with_burden_trace,1,12.0,34,"LONG,SHORT","probe14_f2,probe16_f2,probe17_f3"
transfer_is_not_action,1,0.0,9,-,"probe14_f2,probe16_f2,probe17_f3"
