run,tick,timestamp_ms,family,action,entry_price,better_entry_training,entry_improvement_room,reward,trade_readiness,mature_transfer,phase_age,episode_relation
27,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.358031,0.064201,9999,none
27,7,1767282100000000,dio_1r0b,SHORT,101.88,102.1,0.002159,0.979702,0.206641,0.059101,6,different_contact
27,15,1767284500000000,dio_1mml,LONG,98.84,98.64,0.002023,0.237245,0.086014,0.04983,8,none
28,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.570321,0.069583,9999,none
28,7,1767282100000000,dio_1r0b,SHORT,101.88,102.1,0.002159,0.979702,0.363935,0.064581,6,different_contact
28,12,1767283600000000,dio_1cpq,SHORT,100.56,100.72,0.001591,1.292204,0.172172,0.05104,5,new_contact
29,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.674217,0.075418,9999,none
29,6,1767281800000000,dio_0odx,SHORT,101.72,102.1,0.003736,0.260467,0.06201,0.053027,5,different_contact
29,12,1767283600000000,dio_1cpq,SHORT,100.56,100.72,0.001591,1.292204,0.375302,0.058274,6,new_contact
30,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.761004,0.078122,9999,none
30,6,1767281800000000,dio_0odx,SHORT,101.72,102.1,0.003736,0.260467,0.092001,0.055604,5,different_contact
30,12,1767283600000000,dio_1cpq,SHORT,100.56,100.72,0.001591,1.292204,0.510169,0.066977,6,new_contact
