family,count,actions,reward_sum,avg_reward,avg_entry_improvement_room,max_entry_improvement_room
dio_0odx,2,SHORT:2,0.520934,0.260467,0.003736,0.003736
dio_1r0b,2,SHORT:2,1.959404,0.979702,0.002159,0.002159
dio_1mml,1,LONG:1,0.237245,0.237245,0.002023,0.002023
dio_1lam,4,LONG:4,5.19776,1.29944,0.001799,0.001799
dio_1cpq,3,SHORT:3,3.876612,1.292204,0.001591,0.001591
