summary_group,state,count,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
sensor_exchange_state,hearing_dominant_delta,4,,True,False,False,False,False,False,False,False
sensor_exchange_state,visual_dominant_delta,2,,True,False,False,False,False,False,False,False
avg_exchange_distance,visual,,0.022874574,True,False,False,False,False,False,False,False
avg_exchange_distance,hearing,,0.025480805,True,False,False,False,False,False,False,False
avg_exchange_distance,feeling,,0.017748769,True,False,False,False,False,False,False,False
avg_exchange_distance,neuro,,0.005655133,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,visual,,0.012787167,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,hearing,,0.014112292,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,feeling,,0.007922722,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,neuro,,0.002008233,True,False,False,False,False,False,False,False
