family_action,variant_reife_state,event_reward_sum,symbol_family,action,freshness_state,source_count,episode_count,run_count,outcome_events,avg_event_reward,phase_time_states,avg_phase_distance,avg_binding_pressure,avg_release_pressure,related_reference_family,related_reference_action,related_reference_outcome,transfer_reife_state,transfer_reife,transfer_similarity,transfer_event_relation,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,variant_reife_sentence
dio_04zi:WAIT,variant_local_wait_context,0.0,dio_04zi,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_04zi:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_06bd:WAIT,variant_local_wait_context,0.0,dio_06bd,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_06bd:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_0fa9:WAIT,variant_local_wait_context,0.0,dio_0fa9,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0fa9:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_0ojr:WAIT,variant_local_wait_context,0.0,dio_0ojr,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0ojr:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_0rb2:WAIT,variant_local_wait_context,0.0,dio_0rb2,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.336723,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0rb2:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1g7l:WAIT,variant_local_wait_context,0.0,dio_1g7l,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1g7l:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1jo7:WAIT,variant_local_wait_context,0.0,dio_1jo7,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,separated_observation_contact:3,0.429812,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1jo7:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1q9b:WAIT,variant_local_wait_context,0.0,dio_1q9b,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.304811,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1q9b:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1qig:WAIT,variant_local_wait_context,0.0,dio_1qig,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1qig:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1t73:WAIT,variant_local_wait_context,0.0,dio_1t73,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.230685,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1t73:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1w4m:WAIT,variant_local_wait_context,0.0,dio_1w4m,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,separated_observation_contact:3,0.227155,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1w4m:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_0cgn:WAIT,variant_related_observation_trace,0.0,dio_0cgn,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_1txv,SHORT,TP,transfer_reife_open,0.490049799,0.965920524,positive_to_neutral,1,0,0,0,0,0,"dio_0cgn:WAIT: Die Variante ist verwandt mit dio_1txv (similarity=0.965921), bleibt aber Beobachtung."
dio_0vc8:WAIT,variant_related_observation_trace,0.0,dio_0vc8,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_0arw,LONG,TP,transfer_reife_open,0.46798704,0.907860632,positive_to_neutral,1,0,0,0,0,0,"dio_0vc8:WAIT: Die Variante ist verwandt mit dio_0arw (similarity=0.907861), bleibt aber Beobachtung."
dio_1k0r:LONG,variant_self_burden_action_trace,-3.0,dio_1k0r,LONG,fresh_local_episode_trace,1,3,3,SL:3,-1.0,no_prior_phase:3,1.0,0.0,1.0,dio_02qu,LONG,TP,transfer_reife_action_same_consequence_changed,0.586370162,0.911500425,positive_to_negative,1,0,0,0,0,0,dio_1k0r:LONG: Die Variante belastet diese Handlung aus eigener Konsequenz; reward=-3.000000.
