variant_reife_state,count,event_reward_sum,episode_count,avg_transfer_similarity,family_actions
variant_local_wait_context,11,0.0,33,0.0,"dio_04zi:WAIT,dio_06bd:WAIT,dio_0fa9:WAIT,dio_0ojr:WAIT,dio_0rb2:WAIT,dio_1g7l:WAIT,dio_1jo7:WAIT,dio_1q9b:WAIT,dio_1qig:WAIT,dio_1t73:WAIT,dio_1w4m:WAIT"
variant_related_observation_trace,2,0.0,6,0.936890578,"dio_0cgn:WAIT,dio_0vc8:WAIT"
variant_self_burden_action_trace,1,-3.0,3,0.911500425,dio_1k0r:LONG
