family_action,compare_state,score_delta,reward_delta,before_inner_state,after_inner_state,before_score,after_score,before_reward,after_reward,before_episode_count,after_episode_count,episode_delta,before_dio_syntax_sentence,after_dio_syntax_sentence,same_state,passive_only,influences_action,is_gate,is_motoric
dio_0arw:LONG,same_inner_reading,0.0,3.0,inner_reife_passively_carried,inner_reife_passively_carried,0.877221,0.877221,9.0,12.0,9,12,3,dio_0arw:LONG|inner_reife_passively_carried|score=0.877221|episodes=9|reward=9.000000,dio_0arw:LONG|inner_reife_passively_carried|score=0.877221|episodes=12|reward=12.000000,1,1,0,0,0
dio_1txv:SHORT,same_inner_reading,0.0,3.0,inner_reife_passively_carried,inner_reife_passively_carried,0.793333,0.793333,9.0,12.0,9,12,3,dio_1txv:SHORT|inner_reife_passively_carried|score=0.793333|episodes=9|reward=9.000000,dio_1txv:SHORT|inner_reife_passively_carried|score=0.793333|episodes=12|reward=12.000000,1,1,0,0,0
dio_1vpi:SHORT,same_inner_reading,0.0,3.0,inner_reife_passively_carried,inner_reife_passively_carried,0.862445,0.862445,9.0,12.0,9,12,3,dio_1vpi:SHORT|inner_reife_passively_carried|score=0.862445|episodes=9|reward=9.000000,dio_1vpi:SHORT|inner_reife_passively_carried|score=0.862445|episodes=12|reward=12.000000,1,1,0,0,0
