kind,count,executed,reward_sum,avg_reward,max_reward
positive_executed_contact,6,6,9.838609,1.639768,2.0
burdened_executed_contact,1,1,-0.431148,-0.431148,-0.431148
observed_potential,32,0,0.0,0.0,0.0
