run,tick,symbol_family,action,outcome_event,reward,event_reward,close_reward,entry_price,tp_price,sl_price,exit_price,bars_held,source_file
156,1,dio_1txv,WAIT,NO_TRADE,0.0,0.0,0.0,102.24000000,102.24000000,102.24000000,102.24000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,2,dio_16yc,WAIT,NO_TRADE,0.0,0.0,0.0,101.84000000,101.84000000,101.84000000,101.84000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,3,dio_1g2t,WAIT,NO_TRADE,0.0,0.0,0.0,101.44000000,101.44000000,101.44000000,101.44000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,4,dio_0fiy,LONG,SL,-1.0,-1.0,0.757407,101.08000000,101.60000000,100.56000000,100.56000000,2,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,9,dio_0igh,WAIT,NO_TRADE,0.0,0.0,0.0,102.12000000,102.12000000,102.12000000,102.12000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,10,dio_1qwp,WAIT,NO_TRADE,0.0,0.0,0.0,102.56000000,102.56000000,102.56000000,102.56000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,11,dio_143d,WAIT,NO_TRADE,0.0,0.0,0.0,102.82000000,102.82000000,102.82000000,102.82000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,12,dio_1vpi,SHORT,TP,1.0,1.0,-0.342483,103.10000000,102.32000000,103.88000000,102.32000000,3,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
156,17,dio_02qu,LONG,TP,1.0,1.0,0.36744,103.40000000,104.07200000,102.72800000,104.07200000,2,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_156\episodes.csv
157,1,dio_1txv,WAIT,NO_TRADE,0.0,0.0,0.0,102.24000000,102.24000000,102.24000000,102.24000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_157\episodes.csv
157,2,dio_16yc,SHORT,TP,1.0,1.0,0.325504,101.84000000,101.43333333,102.24666667,101.43333333,1,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_157\episodes.csv
157,7,dio_0x1o,LONG,TP,1.0,1.0,1.364008,101.32000000,101.99600000,100.64400000,101.99600000,2,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_157\episodes.csv
157,12,dio_1vpi,SHORT,TP,1.0,1.0,-0.342483,103.10000000,102.32000000,103.88000000,102.32000000,3,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_157\episodes.csv
157,17,dio_02qu,LONG,TP,1.0,1.0,0.36744,103.40000000,104.07200000,102.72800000,104.07200000,2,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_157\episodes.csv
158,1,dio_1txv,SHORT,TP,1.0,1.0,0.894392,102.24000000,101.94000000,102.54000000,101.94000000,1,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_158\episodes.csv
158,6,dio_0arw,LONG,TP,1.0,1.0,1.384854,101.02000000,101.69200000,100.34800000,101.69200000,2,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_158\episodes.csv
158,11,dio_14xc,WAIT,NO_TRADE,0.0,0.0,0.0,102.82000000,102.82000000,102.82000000,102.82000000,0,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_158\episodes.csv
158,12,dio_1vpi,SHORT,TP,1.0,1.0,-0.342483,103.10000000,102.32000000,103.88000000,102.32000000,3,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_158\episodes.csv
158,17,dio_02qu,LONG,TP,1.0,1.0,0.36744,103.40000000,104.07200000,102.72800000,104.07200000,2,debug\dio_mini_12n_livecheck_probe18\dio_mini_lauf_158\episodes.csv
