symbol_family,action,outcome_event,count,reward_sum,avg_reward,runs,ticks,passive_only
dio_0fiy,LONG,SL,1,-1.0,-1.0,156,4,1
dio_02qu,LONG,TP,3,3.0,1.0,"156,157,158","17,17,17",1
dio_0arw,LONG,TP,1,1.0,1.0,158,6,1
dio_0x1o,LONG,TP,1,1.0,1.0,157,7,1
dio_16yc,SHORT,TP,1,1.0,1.0,157,2,1
dio_1txv,SHORT,TP,1,1.0,1.0,158,1,1
dio_1vpi,SHORT,TP,3,3.0,1.0,"156,157,158","12,12,12",1
dio_0igh,WAIT,NO_TRADE,1,0.0,0.0,156,9,1
dio_143d,WAIT,NO_TRADE,1,0.0,0.0,156,11,1
dio_14xc,WAIT,NO_TRADE,1,0.0,0.0,158,11,1
dio_16yc,WAIT,NO_TRADE,1,0.0,0.0,156,2,1
dio_1g2t,WAIT,NO_TRADE,1,0.0,0.0,156,3,1
dio_1qwp,WAIT,NO_TRADE,1,0.0,0.0,156,10,1
dio_1txv,WAIT,NO_TRADE,2,0.0,0.0,"156,157","1,1",1
