world,debug_root,memory_observations,memory_mean_avg_carry,memory_mean_avg_carried_cos,memory_best_max_carry,memory_best_max_carried_cos,memory_last_positive_carried_cos_family_count,memory_last_avg_readiness,episodes,families,trades,tp,sl,wait,reward_sum,tone_counts,reflection_context_counts,avg_trade_readiness,max_trade_readiness,avg_observation_trade_readiness,max_observation_trade_readiness,avg_observation_learning_pressure,max_observation_learning_pressure,avg_mini_neuro_balance,max_mini_neuro_balance,avg_mini_neuro_support,max_mini_neuro_support,avg_mini_neuro_load,max_mini_neuro_load,avg_mini_temporal_trust_support,max_mini_temporal_trust_support,avg_mini_temporal_caution_support,max_mini_temporal_caution_support,avg_reflection_context_carry,max_reflection_context_carry,avg_reflection_context_strain,max_reflection_context_strain,avg_reflection_context_alignment,max_reflection_context_alignment
probe17,debug\dio_mini_reflection_stability_probe17,1,0.178789,0.27429,0.280315,0.995038,11,0.021341,46,20,5,5,0,41,5.0,"{""focus_tone"": 25, ""observation_tone"": 16, ""relief_tone"": 5}","{""reflection_context_carried"": 6, ""reflection_context_cautious"": 40}",0.078512,0.725292,0.038072,0.067548,0.365588,0.640252,0.09593,0.341307,0.306607,0.548046,0.210677,0.251947,0.0,0.0,0.72,0.72,0.21255,0.339134,0.260916,0.278237,0.933477,0.989387
probe18,debug\dio_mini_reflection_stability_probe18,1,0.178385,0.269927,0.280197,0.99571,11,0.016962,38,19,6,6,0,32,6.0,"{""focus_tone"": 20, ""observation_tone"": 12, ""relief_tone"": 6}","{""reflection_context_carried"": 5, ""reflection_context_cautious"": 33}",0.082717,0.805122,0.041882,0.069494,0.353554,0.638442,0.109629,0.352285,0.32044,0.557927,0.210811,0.245581,0.0,0.0,0.72,0.72,0.214089,0.355105,0.260603,0.276082,0.93229,0.985635
conflict16,debug\dio_mini_reflection_stability_conflict16,1,0.1344,-0.041084,0.260199,0.794854,7,0.015053,54,17,0,0,0,54,0.0,"{""focus_tone"": 30, ""observation_tone"": 24}","{""reflection_context_cautious"": 54}",0.015395,0.036233,0.015148,0.035213,0.386047,0.640599,0.072346,0.305583,0.278817,0.406404,0.206471,0.273168,0.033839,0.609107,0.683077,0.72,0.134035,0.183736,0.296328,0.318598,0.869851,0.935394
