cross_lupe_state,family_count,avg_left_count,avg_right_count,avg_score_delta_right_minus_left,top_families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
right_specific_family,239,0.0,1.0,0.231861312,dio_005k|dio_00r9|dio_010h|dio_0120|dio_015b|dio_0192|dio_01px|dio_02rt|dio_02y8|dio_0325|dio_03sc|dio_049c|dio_05cu|dio_05e5|dio_05xk|dio_065c|dio_06cx|dio_06jl|dio_07lp|dio_07mb,True,False,False,False,False,False,False,False
recurrent_category_shift_family,170,1.0,1.041176471,-0.181008482,dio_09u3|dio_0o73|dio_108f|dio_14eb|dio_1f9y|dio_1jgc|dio_1pvx|dio_005q|dio_00fq|dio_00mq|dio_00wl|dio_01kq|dio_02cr|dio_02s2|dio_02ww|dio_037i|dio_05k3|dio_05pr|dio_05ue|dio_06b8,True,False,False,False,False,False,False,False
recurrent_drift_family,47,1.0,1.021276596,-0.064253509,dio_0w16|dio_002s|dio_01sj|dio_03bb|dio_03em|dio_05ws|dio_08e1|dio_093t|dio_09xu|dio_0bde|dio_0bm2|dio_0fsw|dio_0hd3|dio_0lyl|dio_0oah|dio_0rwa|dio_0t7r|dio_0us2|dio_0v3a|dio_0xn0,True,False,False,False,False,False,False,False
left_specific_family,36,1.027777778,0.0,-0.310004588,dio_1f2s|dio_05st|dio_09f6|dio_0alq|dio_0b1z|dio_0cyg|dio_0fdh|dio_0h3x|dio_0ia8|dio_0jjr|dio_0jr8|dio_0o5p|dio_0siu|dio_0vb1|dio_0wwe|dio_0y5o|dio_106w|dio_12tp|dio_12ym|dio_14md,True,False,False,False,False,False,False,False
recurrent_stable_core_family,14,1.0,1.0,-0.000452,dio_06gy|dio_07t9|dio_0ft4|dio_0gmg|dio_0nrp|dio_0ocv|dio_0pni|dio_0t27|dio_17ny|dio_19bg|dio_1a1w|dio_1fck|dio_1jba|dio_1si6,True,False,False,False,False,False,False,False
recurrent_variation_family,10,1.0,1.0,0.005719913,dio_03yz|dio_095l|dio_0g9z|dio_0x52|dio_0xkp|dio_140n|dio_1ffn|dio_1i05|dio_1lg2|dio_1ocs,True,False,False,False,False,False,False,False
recurrent_carried_raw_family,8,2.0,1.5,-0.074077125,dio_01w7|dio_15lu|dio_1mrs|dio_1o2b|dio_0t1p|dio_0vu0|dio_105u|dio_17se,True,False,False,False,False,False,False,False
