family,cross_lupe_state,left_label,right_label,appears_left,appears_right,left_count,right_count,left_dominant_category,right_dominant_category,left_categories,right_categories,left_avg_score,right_avg_score,score_delta_right_minus_left,left_avg_drift,right_avg_drift,left_text_islands,right_text_islands,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_1f2s,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,2,0,carried_raw_space,-,"{""carried_raw_space"": 1, ""soft_variation_space"": 1}",{},0.300220967,0.0,-0.300220967,0.0,0.0,dio_text_1xv5iq8|dio_text_qe0f88,,True,False,False,False,False,False,False,False
dio_05st,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1b2bq44,,True,False,False,False,False,False,False,False
dio_09f6,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_gk99o7,,True,False,False,False,False,False,False,False
dio_0alq,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.213333333,0.0,-0.213333333,0.0,0.0,dio_text_t4lcg6,,True,False,False,False,False,False,False,False
dio_0b1z,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.480379933,0.0,-0.480379933,0.0,0.0,dio_text_1st3vgz,,True,False,False,False,False,False,False,False
dio_0cyg,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.475449667,0.0,-0.475449667,0.0,0.0,dio_text_1fq70kn,,True,False,False,False,False,False,False,False
dio_0fdh,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.213333333,0.0,-0.213333333,0.0,0.0,dio_text_vprmib,,True,False,False,False,False,False,False,False
dio_0h3x,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.5275858,0.0,-0.5275858,0.0,0.0,dio_text_15hzmqv,,True,False,False,False,False,False,False,False
dio_0ia8,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,new_raw_extension,-,"{""new_raw_extension"": 1}",{},0.213333333,0.0,-0.213333333,0.0,0.0,dio_text_1vxdbk5,,True,False,False,False,False,False,False,False
dio_0jjr,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.393757267,0.0,-0.393757267,0.0,0.0,dio_text_l4qsr6,,True,False,False,False,False,False,False,False
dio_0jr8,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.480379933,0.0,-0.480379933,0.0,0.0,dio_text_1st3vgz,,True,False,False,False,False,False,False,False
dio_0o5p,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.213333333,0.0,-0.213333333,0.0,0.0,dio_text_vprmib,,True,False,False,False,False,False,False,False
dio_0siu,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1ayz,,True,False,False,False,False,False,False,False
dio_0vb1,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_598ccf,,True,False,False,False,False,False,False,False
dio_0wwe,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_lyhjmd,,True,False,False,False,False,False,False,False
dio_0y5o,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1jk9v37,,True,False,False,False,False,False,False,False
dio_106w,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,drift_watch,-,"{""drift_watch"": 1}",{},0.310346067,0.0,-0.310346067,0.5,0.0,dio_text_10vzt25,,True,False,False,False,False,False,False,False
dio_12tp,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1acqnej,,True,False,False,False,False,False,False,False
dio_12ym,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1ejlkwl,,True,False,False,False,False,False,False,False
dio_14md,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1c3wtc0,,True,False,False,False,False,False,False,False
dio_157f,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_wnx44n,,True,False,False,False,False,False,False,False
dio_168n,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,drift_watch,-,"{""drift_watch"": 1}",{},0.314212467,0.0,-0.314212467,0.5,0.0,dio_text_jlg1oi,,True,False,False,False,False,False,False,False
dio_17qa,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.4045778,0.0,-0.4045778,0.0,0.0,dio_text_1o8gs8u,,True,False,False,False,False,False,False,False
dio_1958,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.5275858,0.0,-0.5275858,0.0,0.0,dio_text_15hzmqv,,True,False,False,False,False,False,False,False
dio_1a3i,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.5275858,0.0,-0.5275858,0.0,0.0,dio_text_15hzmqv,,True,False,False,False,False,False,False,False
dio_1azp,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_u4588w,,True,False,False,False,False,False,False,False
dio_1dle,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_88815y,,True,False,False,False,False,False,False,False
dio_1ebv,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.5275858,0.0,-0.5275858,0.0,0.0,dio_text_15hzmqv,,True,False,False,False,False,False,False,False
dio_1hjm,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.4045778,0.0,-0.4045778,0.0,0.0,dio_text_1o8gs8u,,True,False,False,False,False,False,False,False
dio_1ngq,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1yewgfr,,True,False,False,False,False,False,False,False
dio_1r1o,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.393756467,0.0,-0.393756467,0.0,0.0,dio_text_1kx4hnb,,True,False,False,False,False,False,False,False
dio_1u19,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_ojljb0,,True,False,False,False,False,False,False,False
dio_1uf1,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,soft_variation_space,-,"{""soft_variation_space"": 1}",{},0.5275858,0.0,-0.5275858,0.0,0.0,dio_text_15hzmqv,,True,False,False,False,False,False,False,False
dio_1wbu,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1iqihsh,,True,False,False,False,False,False,False,False
dio_1wnr,left_specific_family,F_ONLY_TO_F_G,G_ONLY_TO_G_H,True,False,1,0,carried_raw_space,-,"{""carried_raw_space"": 1}",{},0.206666667,0.0,-0.206666667,0.0,0.0,dio_text_1ccct8g,,True,False,False,False,False,False,False,False
