symbol_family,stability_state,stable_action,positive_contact_count,positive_contact_lage_states,burden_contact_count,burden_contact_lage_states,positive_count,burden_count,positive_reward_sum,burden_reward_sum,positive_actions,all_actions,passive_only
dio_14eb,kontaktlagenuebergreifend_bestaetigt,SHORT,3,"bestaetigte_sensorvarianz,exakte_wiederbegegnung,nahe_aehnlichkeit",0,,12,0,16.895516,0.0,SHORT:12,SHORT:12,1
dio_0szn,kontaktlagenuebergreifend_bestaetigt,SHORT,3,"bestaetigte_sensorvarianz,exakte_wiederbegegnung,nahe_aehnlichkeit",0,,10,0,7.014025,0.0,SHORT:10,"SHORT:10,WAIT:1",1
dio_0hd3,lokal_bestaetigt,SHORT,1,verschobene_sensorvarianz,0,,2,0,2.91857,0.0,SHORT:2,"SHORT:2,WAIT:2",1
dio_1tmf,lokal_bestaetigt,LONG,1,ferne_aehnlichkeit,0,,2,0,2.83212,0.0,LONG:2,"LONG:2,WAIT:2",1
dio_0c6o,lokal_bestaetigt,LONG,1,verschobene_sensorvarianz,0,,2,0,2.296328,0.0,LONG:2,"LONG:2,WAIT:2",1
dio_0y4s,lokal_bestaetigt,SHORT,1,ferne_aehnlichkeit,0,,1,0,1.045363,0.0,SHORT:1,"SHORT:1,WAIT:3",1
dio_0eji,lokal_bestaetigt,LONG,1,konflikt_wiederbegegnung,0,,1,0,0.884386,0.0,LONG:1,"LONG:1,WAIT:3",1
dio_1wie,lokal_bestaetigt,SHORT,1,verschobene_sensorvarianz,0,,1,0,0.794658,0.0,SHORT:1,"SHORT:1,WAIT:3",1
dio_0eh8,lokal_bestaetigt,SHORT,1,exakte_wiederbegegnung,0,,1,0,0.742752,0.0,SHORT:1,SHORT:1,1
dio_124d,lokal_bestaetigt,LONG,1,konflikt_wiederbegegnung,0,,1,0,0.726418,0.0,LONG:1,"LONG:1,WAIT:3",1
dio_1gp1,lokal_bestaetigt,SHORT,1,ferne_aehnlichkeit,0,,1,0,0.709061,0.0,SHORT:1,"SHORT:1,WAIT:3",1
dio_16kb,lokal_bestaetigt,SHORT,1,nahe_aehnlichkeit,0,,1,0,0.614879,0.0,SHORT:1,"SHORT:1,WAIT:7",1
dio_19i4,lokal_bestaetigt,SHORT,1,konflikt_wiederbegegnung,0,,1,0,0.536005,0.0,SHORT:1,SHORT:1,1
dio_1l2h,lokal_bestaetigt,LONG,1,nahe_aehnlichkeit,0,,1,0,0.184471,0.0,LONG:1,"LONG:1,WAIT:6",1
dio_0wv3,richtungs_konflikt,mixed,4,"bestaetigte_sensorvarianz,exakte_wiederbegegnung,konflikt_wiederbegegnung,nahe_aehnlichkeit",2,"bestaetigte_sensorvarianz,konflikt_wiederbegegnung",10,5,13.305551,-8.218442,"LONG:9,SHORT:1","LONG:12,SHORT:3,WAIT:1",1
dio_02az,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_04iy,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_05cx,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:1,1
dio_05s4,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_06j3,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_07rf,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_0aam,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_0aib,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_0avw,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:4,1
dio_0bcj,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_0c1f,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_0hli,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_0izw,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_0jco,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:4,1
dio_0klc,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_0qze,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:1,1
dio_0rsw,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_0t0v,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:4,1
dio_0u1i,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_0ux2,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:4,1
dio_0y8w,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:1,1
dio_12jm,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1361,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:1,1
dio_13zu,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_14av,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_14jl,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_14ku,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_15a2,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_15ms,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_18j3,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1985,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_199c,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_1amw,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1ayy,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:12,1
dio_1cey,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:4,1
dio_1g18,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:4,1
dio_1guc,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1hjm,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_1jn5,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:4,1
dio_1k8m,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_1lwc,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1m5f,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1p8p,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1pgm,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1qcm,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1qxd,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1qyj,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:3,1
dio_1rsi,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:1,1
dio_1tqx,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
dio_1uv4,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:1,1
dio_1vp3,beobachtung,-,0,,0,,0,0,0.0,0.0,,WAIT:2,1
