summary_group,state,count,avg_episode_count_sum,avg_observation_learning_pressure,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,avg_trade_readiness
family_recurrence_mode,single_family_stable_recurrence,18,,,True,False,False,False,False,False,False,False,
family_recurrence_mode,multi_family_coherent_condensation,1,,,True,False,False,False,False,False,False,False,
totals,new_raw_to_stable_recurrence,19,5.894736842,0.362646474,True,False,False,False,False,False,False,False,0.003255763
