boundary_state,count,reward_sum,families,writes_memory,influences_action,is_gate,passive_only
open_observation_not_memory,17,0.0,"dio_02qu,dio_040y,dio_0fiy,dio_0fzl,dio_0igh,dio_0ps1,dio_0x1o,dio_10dk,dio_13u8,dio_14xc,dio_16yc,dio_1d1z,dio_1d3r,dio_1f9y,dio_1g2t,dio_1mym,dio_1qwp",0,0,0,1
reflection_worthy_difference,6,4.567326,"dio_00qb,dio_0120,dio_0akd,dio_0bmh,dio_0t0v,dio_1vpi",0,0,0,1
stable_recognition_not_memory,7,40.465875,"dio_04z7,dio_0arw,dio_0ems,dio_0n9e,dio_0ofo,dio_1bwb,dio_1u7v",0,0,0,1
unfinished_trace_not_memory,1,0.0,dio_1k7y,0,0,0,1
