left_family,right_family,rank,distance,similarity,left_count,right_count,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,left_action,right_action,left_outcome,right_outcome,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_state_class,right_state_class,same_state_class,same_action,same_outcome,passive_only,left_sehen_form_flow,right_sehen_form_flow,left_sehen_form_stability,right_sehen_form_stability,left_sehen_form_change,right_sehen_form_change,left_hoeren_energy_tone,right_hoeren_energy_tone,left_hoeren_energy_shift,right_hoeren_energy_shift,left_fuehlen_mcm_coherence,right_fuehlen_mcm_coherence,left_fuehlen_mcm_tension,right_fuehlen_mcm_tension,left_fuehlen_mcm_asymmetry,right_fuehlen_mcm_asymmetry,kinship_sentence
dio_02qu,dio_1k0r,1,0.097092193,0.911500425,3,3,3.0,-3.0,3.0,-3.0,LONG,LONG,TP,SL,-,-,-,-,open,open,1,1,0,1,0.291659,0.25469,0.0,0.0,0.29436,0.154195,0.053713,-0.105623,0.089286,-0.057471,0.38496,0.370425,0.192154,0.176003,0.251832,0.168139,dio_02qu -> dio_1k0r: sensorische/MCM-Naehe=0.911500; links=- rechts=-; Aktion=LONG->LONG.
dio_02qu,dio_1t73,2,0.339933623,0.746305625,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.291659,-0.37545,0.0,0.0,0.29436,0.577393,0.053713,-0.152016,0.089286,-0.34375,0.38496,0.357435,0.192154,0.313919,0.251832,-0.140428,dio_02qu -> dio_1t73: sensorische/MCM-Naehe=0.746306; links=- rechts=-; Aktion=LONG->WAIT.
dio_02qu,dio_1w4m,3,0.351595022,0.73986659,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.291659,-0.344651,0.0,0.0,0.29436,-0.245917,0.053713,0.165485,0.089286,-0.031646,0.38496,0.353664,0.192154,0.253604,0.251832,-0.258354,dio_02qu -> dio_1w4m: sensorische/MCM-Naehe=0.739867; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_0vc8,1,0.101490652,0.907860632,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.483187,0.0,0.0,0.533785,0.648337,-0.00536,-0.183654,-0.059524,-0.206186,0.398499,0.348577,0.275533,0.383807,-0.134298,-0.156221,dio_0arw -> dio_0vc8: sensorische/MCM-Naehe=0.907861; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_1t73,2,0.118615655,0.8939621,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.37545,0.0,0.0,0.533785,0.577393,-0.00536,-0.152016,-0.059524,-0.34375,0.398499,0.357435,0.275533,0.313919,-0.134298,-0.140428,dio_0arw -> dio_1t73: sensorische/MCM-Naehe=0.893962; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_1w4m,3,0.288600785,0.776035535,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.344651,0.0,0.0,0.533785,-0.245917,-0.00536,0.165485,-0.059524,-0.031646,0.398499,0.353664,0.275533,0.253604,-0.134298,-0.258354,dio_0arw -> dio_1w4m: sensorische/MCM-Naehe=0.776036; links=- rechts=-; Aktion=LONG->WAIT.
dio_14xc,dio_0cgn,1,0.348056388,0.741808732,3,3,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,0.05444,1.0,1.0,-0.169765,0.108879,0.010545,0.055143,-0.130208,0.206897,0.997047,0.98456,0.377032,0.063445,0.393802,0.097996,dio_14xc -> dio_0cgn: sensorische/MCM-Naehe=0.741809; links=- rechts=-; Aktion=WAIT->WAIT.
dio_14xc,dio_1k0r,2,0.49118599,0.670607159,3,3,0.0,-3.0,0.0,-3.0,WAIT,LONG,NO_TRADE,SL,-,-,-,-,open,open,1,0,0,1,0.822477,0.25469,1.0,0.0,-0.169765,0.154195,0.010545,-0.105623,-0.130208,-0.057471,0.997047,0.370425,0.377032,0.176003,0.393802,0.168139,dio_14xc -> dio_1k0r: sensorische/MCM-Naehe=0.670607; links=- rechts=-; Aktion=WAIT->LONG.
dio_14xc,dio_1w4m,3,0.637984264,0.610506475,3,3,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,-0.344651,1.0,0.0,-0.169765,-0.245917,0.010545,0.165485,-0.130208,-0.031646,0.997047,0.353664,0.377032,0.253604,0.393802,-0.258354,dio_14xc -> dio_1w4m: sensorische/MCM-Naehe=0.610506; links=- rechts=-; Aktion=WAIT->WAIT.
dio_1txv,dio_0cgn,1,0.035281864,0.965920524,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,0.05444,1.0,1.0,0.065244,0.108879,0.039728,0.055143,0.133333,0.206897,0.988876,0.98456,0.040826,0.063445,0.060594,0.097996,dio_1txv -> dio_0cgn: sensorische/MCM-Naehe=0.965921; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1txv,dio_1qig,2,0.403709216,0.712398258,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,-0.874202,1.0,1.0,0.065244,0.202334,0.039728,-0.011927,0.133333,-0.101781,0.988876,0.99666,0.040826,0.404548,0.060594,-0.461349,dio_1txv -> dio_1qig: sensorische/MCM-Naehe=0.712398; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1txv,dio_1k0r,3,0.436903872,0.695940779,3,3,3.0,-3.0,3.0,-3.0,SHORT,LONG,TP,SL,-,-,-,-,open,open,1,0,0,1,0.032622,0.25469,1.0,0.0,0.065244,0.154195,0.039728,-0.105623,0.133333,-0.057471,0.988876,0.370425,0.040826,0.176003,0.060594,0.168139,dio_1txv -> dio_1k0r: sensorische/MCM-Naehe=0.695941; links=- rechts=-; Aktion=SHORT->LONG.
dio_1vpi,dio_0cgn,1,0.309285374,0.763775431,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.742634,0.05444,1.0,1.0,-0.089228,0.108879,-0.052832,0.055143,-0.076923,0.206897,0.985207,0.98456,0.348372,0.063445,0.379076,0.097996,dio_1vpi -> dio_0cgn: sensorische/MCM-Naehe=0.763775; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1vpi,dio_1k0r,2,0.468064068,0.681169182,3,3,3.0,-3.0,3.0,-3.0,SHORT,LONG,TP,SL,-,-,-,-,open,open,1,0,0,1,0.742634,0.25469,1.0,0.0,-0.089228,0.154195,-0.052832,-0.105623,-0.076923,-0.057471,0.985207,0.370425,0.348372,0.176003,0.379076,0.168139,dio_1vpi -> dio_1k0r: sensorische/MCM-Naehe=0.681169; links=- rechts=-; Aktion=SHORT->LONG.
dio_1vpi,dio_1w4m,3,0.619535811,0.617460875,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.742634,-0.344651,1.0,0.0,-0.089228,-0.245917,-0.052832,0.165485,-0.076923,-0.031646,0.985207,0.353664,0.348372,0.253604,0.379076,-0.258354,dio_1vpi -> dio_1w4m: sensorische/MCM-Naehe=0.617461; links=- rechts=-; Aktion=SHORT->WAIT.
