source,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,best_action_training,mini_temporal_state,mini_neuro_dominant_tone,reflection_context_state,reward,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_1,7,1767552100000000,dio_04kxp8v,dio_04kx,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.222222,0.078145,-1.0,0.588564,-0.043626,-0.065617,-0.212215,0.145314,0.171893,True,False,False,False,False,False,False,False
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_2,7,1767552100000000,dio_04kxp8v,dio_04kx,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.222222,0.078145,-1.0,0.588564,-0.043626,-0.065617,-0.212215,0.145314,0.171893,True,False,False,False,False,False,False,False
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_1,4,1767551200000000,dio_05k373k,dio_05k3,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.410145,-0.583042,0.0,-0.399196,0.391782,0.215827,0.290301,0.473297,-0.379145,True,False,False,False,False,False,False,False
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_2,4,1767551200000000,dio_05k373k,dio_05k3,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.410145,-0.583042,0.0,-0.399196,0.391782,0.215827,0.290301,0.473297,-0.379145,True,False,False,False,False,False,False,False
dio_mini_variant_probe26_fresh_20260606/dio_mini_lauf_1,4,1767561200000000,dio_05k373k,dio_05k3,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.408467,-0.571879,0.0,-0.406477,0.393728,0.305755,0.289756,0.470591,-0.356656,True,False,False,False,False,False,False,False
dio_mini_variant_probe26_fresh_20260606/dio_mini_lauf_2,4,1767561200000000,dio_05k373k,dio_05k3,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.408467,-0.571879,0.0,-0.406477,0.393728,0.305755,0.289756,0.470591,-0.356656,True,False,False,False,False,False,False,False
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_1,15,1767554500000000,dio_067m4e4,dio_067m,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.624849,0.981547,1.0,0.117181,0.328103,0.727612,0.908131,0.568802,0.723312,True,False,False,False,False,False,False,False
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_2,15,1767554500000000,dio_067m4e4,dio_067m,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.624849,0.981547,1.0,0.117181,0.328103,0.727612,0.908131,0.568802,0.723312,True,False,False,False,False,False,False,False
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_1,5,1767551500000000,dio_0fvj36m,dio_0fvj,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.623258,-0.759744,1.0,0.224578,0.026153,-0.415335,0.992677,0.366009,-0.454625,True,False,False,False,False,False,False,False
dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_2,5,1767551500000000,dio_0fvj36m,dio_0fvj,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.623258,-0.759744,1.0,0.224578,0.026153,-0.415335,0.992677,0.366009,-0.454625,True,False,False,False,False,False,False,False
