metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
node_count_reference,266,True,False,False,False,False,False,False,False
node_count_candidate,303,True,False,False,False,False,False,False,False
shared_node_count,64,True,False,False,False,False,False,False,False
node_reproduction_rate,0.240602,True,False,False,False,False,False,False,False
edge_count_reference,120,True,False,False,False,False,False,False,False
edge_count_candidate,120,True,False,False,False,False,False,False,False
shared_edge_count,9,True,False,False,False,False,False,False,False
edge_reproduction_rate,0.075,True,False,False,False,False,False,False,False
island_count_reference,170,True,False,False,False,False,False,False,False
island_count_candidate,197,True,False,False,False,False,False,False,False
avg_island_similarity_reference,0.25867,True,False,False,False,False,False,False,False
avg_island_similarity_candidate,0.268888,True,False,False,False,False,False,False,False
