inner_state,count,event_reward_sum,memory_reward_sum,families,actions
inner_consequence_carried,3,5.0,21.042285,"dio_0cgn,dio_0hd3,dio_1g18","LONG,SHORT"
inner_consequence_conflicted,1,-2.0,3.310439,dio_0x52,SHORT
inner_consequence_quiet,9,0.0,0.0,"dio_07rf,dio_0cgn,dio_0gmg,dio_0izw,dio_15ms,dio_173s,dio_1mn2,dio_1mx2,dio_1pfo",WAIT
