family_action,variant_transfer_state,similarity,right_family,left_family,inner_reife_awareness_state,passive_reife_score,left_event_reward_sum,left_episode_count,distance,left_action,right_action,left_outcome,right_outcome,right_reward_sum,right_event_reward_sum,same_action,same_outcome,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,variant_transfer_sentence
dio_0arw:LONG,variant_relative_seen_as_observation,0.78285438,dio_1d3r,dio_0arw,inner_reife_passively_carried,0.877221,12.0,12,0.277376771,LONG,WAIT,TP,NO_TRADE,-1.0,-1.0,0,0,1,0,0,0,0,0,"dio_0arw:LONG: In der Variante wird eine nahe Sinnes-/MCM-Verwandtschaft zu dio_1d3r gesehen (similarity=0.782854), aber sie bleibt Beobachtung statt Handlung."
dio_1txv:SHORT,variant_relative_seen_as_observation,0.993744055,dio_1c6b,dio_1txv,inner_reife_passively_carried,0.793333,12.0,12,0.006295328,SHORT,WAIT,TP,NO_TRADE,0.0,0.0,0,0,1,0,0,0,0,0,"dio_1txv:SHORT: In der Variante wird eine nahe Sinnes-/MCM-Verwandtschaft zu dio_1c6b gesehen (similarity=0.993744), aber sie bleibt Beobachtung statt Handlung."
dio_1vpi:SHORT,variant_relative_seen_as_observation,0.976794864,dio_1m4n,dio_1vpi,inner_reife_passively_carried,0.862445,12.0,12,0.023756407,SHORT,WAIT,TP,NO_TRADE,0.0,0.0,0,0,1,0,0,0,0,0,"dio_1vpi:SHORT: In der Variante wird eine nahe Sinnes-/MCM-Verwandtschaft zu dio_1m4n gesehen (similarity=0.976795), aber sie bleibt Beobachtung statt Handlung."
