left_family,right_family,rank,distance,similarity,left_count,right_count,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,left_action,right_action,left_outcome,right_outcome,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_state_class,right_state_class,same_state_class,same_action,same_outcome,passive_only,left_sehen_form_flow,right_sehen_form_flow,left_sehen_form_stability,right_sehen_form_stability,left_sehen_form_change,right_sehen_form_change,left_hoeren_energy_tone,right_hoeren_energy_tone,left_hoeren_energy_shift,right_hoeren_energy_shift,left_fuehlen_mcm_coherence,right_fuehlen_mcm_coherence,left_fuehlen_mcm_tension,right_fuehlen_mcm_tension,left_fuehlen_mcm_asymmetry,right_fuehlen_mcm_asymmetry,kinship_sentence
dio_02qu,dio_0u8f,1,0.379254273,0.725029474,3,3,3.0,3.0,3.0,3.0,LONG,LONG,TP,TP,-,-,-,-,open,open,1,1,1,1,0.291659,-0.488596,0.0,0.0,0.29436,0.92564,0.053713,-0.048494,0.089286,0.0,0.38496,0.386422,0.192154,0.37368,0.251832,-0.05146,dio_02qu -> dio_0u8f: sensorische/MCM-Naehe=0.725029; links=- rechts=-; Aktion=LONG->LONG.
dio_02qu,dio_0qrm,2,0.429528432,0.699531382,3,3,3.0,3.0,3.0,3.0,LONG,SHORT,TP,TP,-,-,-,-,open,open,1,0,1,1,0.291659,0.033016,0.0,-1.0,0.29436,0.507326,0.053713,0.005226,0.089286,0.10989,0.38496,-0.201463,0.192154,0.097234,0.251832,0.162225,dio_02qu -> dio_0qrm: sensorische/MCM-Naehe=0.699531; links=- rechts=-; Aktion=LONG->SHORT.
dio_02qu,dio_0x52,3,0.430686877,0.698964963,3,3,3.0,3.0,3.0,3.0,LONG,SHORT,TP,TP,-,-,-,-,open,open,1,0,1,1,0.291659,0.066613,0.0,1.0,0.29436,0.133227,0.053713,0.062875,0.089286,0.222222,0.38496,0.982395,0.192154,0.075702,0.251832,0.113722,dio_02qu -> dio_0x52: sensorische/MCM-Naehe=0.698965; links=- rechts=-; Aktion=LONG->SHORT.
dio_0arw,dio_0u8f,1,0.148869954,0.870420535,3,3,3.0,3.0,3.0,3.0,LONG,LONG,TP,TP,-,-,-,-,open,open,1,1,1,1,-0.447325,-0.488596,0.0,0.0,0.533785,0.92564,-0.00536,-0.048494,-0.059524,0.0,0.398499,0.386422,0.275533,0.37368,-0.134298,-0.05146,dio_0arw -> dio_0u8f: sensorische/MCM-Naehe=0.870421; links=- rechts=-; Aktion=LONG->LONG.
dio_0arw,dio_19p6,2,0.254285723,0.797266509,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.866513,0.0,0.0,0.533785,0.90768,-0.00536,-0.158018,-0.059524,-0.28436,0.398499,0.355755,0.275533,0.575532,-0.134298,-0.324276,dio_0arw -> dio_19p6: sensorische/MCM-Naehe=0.797267; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_0qrm,3,0.466357098,0.681962123,3,3,3.0,3.0,3.0,3.0,LONG,SHORT,TP,TP,-,-,-,-,open,open,1,0,1,1,-0.447325,0.033016,0.0,-1.0,0.533785,0.507326,-0.00536,0.005226,-0.059524,0.10989,0.398499,-0.201463,0.275533,0.097234,-0.134298,0.162225,dio_0arw -> dio_0qrm: sensorische/MCM-Naehe=0.681962; links=- rechts=-; Aktion=LONG->SHORT.
dio_14xc,dio_0x52,1,0.346327,0.742761602,3,3,0.0,3.0,0.0,3.0,WAIT,SHORT,NO_TRADE,TP,-,-,-,-,open,open,1,0,0,1,0.822477,0.066613,1.0,1.0,-0.169765,0.133227,0.010545,0.062875,-0.130208,0.222222,0.997047,0.982395,0.377032,0.075702,0.393802,0.113722,dio_14xc -> dio_0x52: sensorische/MCM-Naehe=0.742762; links=- rechts=-; Aktion=WAIT->SHORT.
dio_14xc,dio_0u8f,2,0.750865886,0.571145973,3,3,0.0,3.0,0.0,3.0,WAIT,LONG,NO_TRADE,TP,-,-,-,-,open,open,1,0,0,1,0.822477,-0.488596,1.0,0.0,-0.169765,0.92564,0.010545,-0.048494,-0.130208,0.0,0.997047,0.386422,0.377032,0.37368,0.393802,-0.05146,dio_14xc -> dio_0u8f: sensorische/MCM-Naehe=0.571146; links=- rechts=-; Aktion=WAIT->LONG.
dio_14xc,dio_19p6,3,0.86833497,0.535235927,3,3,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,-0.866513,1.0,0.0,-0.169765,0.90768,0.010545,-0.158018,-0.130208,-0.28436,0.997047,0.355755,0.377032,0.575532,0.393802,-0.324276,dio_14xc -> dio_19p6: sensorische/MCM-Naehe=0.535236; links=- rechts=-; Aktion=WAIT->WAIT.
dio_1txv,dio_0x52,1,0.047821331,0.954361178,3,3,3.0,3.0,3.0,3.0,SHORT,SHORT,TP,TP,-,-,-,-,open,open,1,1,1,1,0.032622,0.066613,1.0,1.0,0.065244,0.133227,0.039728,0.062875,0.133333,0.222222,0.988876,0.982395,0.040826,0.075702,0.060594,0.113722,dio_1txv -> dio_0x52: sensorische/MCM-Naehe=0.954361; links=- rechts=-; Aktion=SHORT->SHORT.
dio_1txv,dio_0u8f,2,0.561672613,0.640339077,3,3,3.0,3.0,3.0,3.0,SHORT,LONG,TP,TP,-,-,-,-,open,open,1,0,1,1,0.032622,-0.488596,1.0,0.0,0.065244,0.92564,0.039728,-0.048494,0.133333,0.0,0.988876,0.386422,0.040826,0.37368,0.060594,-0.05146,dio_1txv -> dio_0u8f: sensorische/MCM-Naehe=0.640339; links=- rechts=-; Aktion=SHORT->LONG.
dio_1txv,dio_19p6,3,0.667700411,0.599628083,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,-0.866513,1.0,0.0,0.065244,0.90768,0.039728,-0.158018,0.133333,-0.28436,0.988876,0.355755,0.040826,0.575532,0.060594,-0.324276,dio_1txv -> dio_19p6: sensorische/MCM-Naehe=0.599628; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1vpi,dio_0x52,1,0.307029323,0.765093776,3,3,3.0,3.0,3.0,3.0,SHORT,SHORT,TP,TP,-,-,-,-,open,open,1,1,1,1,0.742634,0.066613,1.0,1.0,-0.089228,0.133227,-0.052832,0.062875,-0.076923,0.222222,0.985207,0.982395,0.348372,0.075702,0.379076,0.113722,dio_1vpi -> dio_0x52: sensorische/MCM-Naehe=0.765094; links=- rechts=-; Aktion=SHORT->SHORT.
dio_1vpi,dio_0u8f,2,0.715573682,0.582895396,3,3,3.0,3.0,3.0,3.0,SHORT,LONG,TP,TP,-,-,-,-,open,open,1,0,1,1,0.742634,-0.488596,1.0,0.0,-0.089228,0.92564,-0.052832,-0.048494,-0.076923,0.0,0.985207,0.386422,0.348372,0.37368,0.379076,-0.05146,dio_1vpi -> dio_0u8f: sensorische/MCM-Naehe=0.582895; links=- rechts=-; Aktion=SHORT->LONG.
dio_1vpi,dio_19p6,3,0.83514889,0.544914914,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.742634,-0.866513,1.0,0.0,-0.089228,0.90768,-0.052832,-0.158018,-0.076923,-0.28436,0.985207,0.355755,0.348372,0.575532,0.379076,-0.324276,dio_1vpi -> dio_19p6: sensorische/MCM-Naehe=0.544915; links=- rechts=-; Aktion=SHORT->WAIT.
