boundary_state,count,reward_sum,families,writes_memory,influences_action,is_gate,passive_only
open_observation_not_memory,1,0.0,dio_14xc,0,0,0,1
stable_recognition_not_memory,3,9.947715,"dio_0arw,dio_0t0v,dio_1u7v",0,0,0,1
unfinished_trace_not_memory,2,0.0,"dio_00qb,dio_1vpi",0,0,0,1
