family,stability_state,baseline_trace,current_trace,baseline_strength,current_strength,baseline_reward,current_reward,baseline_phases,current_phases
dio_14mj,trace_shift,dio_trace_lokal_reift,dio_trace_reif_handlung,0.370098,1.0,0.798383,3.991915,sensor_relation_probe5_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_1tik,trace_shift,dio_trace_gehaltene_beobachtung,dio_trace_direkt_reif,0.157652,0.748689,0.0,1.81998,sensor_relation_probe5_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_1kqv,same_trace_stronger,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.503288,0.640089,0.0,0.0,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_0xgj,same_trace_stronger,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.185549,0.503147,0.0,0.0,sensor_relation_probe5_repeat,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_repeat"
dio_0kpn,same_trace_stronger,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.15725,0.404108,0.0,0.0,sensor_relation_probe5_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_0nmi,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,1.0,1.0,6.770993,6.770993,"order_shift,sensor_relation_probe2","order_shift,sensor_relation_probe2"
dio_0qb3,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,1.0,1.0,5.353388,5.353388,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_1k0r,stable_trace,dio_trace_lokal_direkt,dio_trace_lokal_direkt,1.0,1.0,4.7844,4.7844,sensor_relation_probe3,sensor_relation_probe3
dio_1d6j,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,1.0,1.0,4.768065,4.768065,"order_shift,order_shift_varianz","order_shift,order_shift_varianz"
dio_14wi,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,1.0,1.0,4.496005,4.496005,"sensor_relation_probe4,sensor_relation_probe4_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0x52,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,1.0,1.0,3.99281,3.99281,"sensor_relation_probe5,sensor_relation_probe5_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1vm7,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,1.0,1.0,3.554517,3.554517,"sensor_relation_probe5,sensor_relation_probe5_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0a54,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,1.0,1.0,3.445308,3.445308,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat","sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_09jn,stable_trace,dio_trace_reif_handlung,dio_trace_reif_handlung,0.99907,1.0,2.190568,3.44204,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_0v36,stable_trace,dio_trace_lokal_direkt,dio_trace_lokal_direkt,0.849369,0.849369,3.423192,3.423192,sensor_relation_probe4,sensor_relation_probe4
dio_1alf,stable_trace,dio_trace_direkt_reif,dio_trace_direkt_reif,0.799729,0.799729,2.107256,2.107256,"sensor_relation_probe4,sensor_relation_probe4_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_1ioc,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.788973,0.788973,3.339704,3.339704,order_shift_varianz,order_shift_varianz
dio_121e,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.737269,0.737269,3.042412,3.042412,order_shift,order_shift
dio_18jg,stable_trace,dio_trace_direkt_reif,dio_trace_direkt_reif,0.731871,0.731871,1.753144,1.753144,"sensor_relation_probe5,sensor_relation_probe5_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1mx6,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.65211,0.65211,2.572766,2.572766,sensor_relation_probe3,sensor_relation_probe3
dio_1uyk,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.631056,0.631056,2.46987,2.46987,sensor_relation_probe2,sensor_relation_probe2
dio_1dmh,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.628909,0.628909,2.480166,2.480166,sensor_relation_probe3,sensor_relation_probe3
