kinship_class,family_count,avg_similarity,same_action_count,same_outcome_count,families
single_to_quiet,3,0.876315623,1,1,"dio_0arw->dio_173s,dio_0fiy->dio_07rf,dio_1g2t->dio_07rf"
single_to_single,4,0.924972309,0,0,"dio_0igh->dio_0hd3,dio_143d->dio_0hd3,dio_14xc->dio_0hd3,dio_1qwp->dio_0hd3"
single_to_trust,1,0.95884419,0,1,dio_0x1o->dio_1g18
trust_to_quiet,1,0.737113127,0,0,dio_02qu->dio_173s
trust_to_single,1,0.941886839,1,1,dio_1vpi->dio_0hd3
variant_to_quiet,1,0.82884948,0,1,dio_16yc->dio_0izw
variant_to_variant,1,0.965920524,1,1,dio_1txv->dio_0cgn
