left_family,right_family,rank,distance,similarity,left_count,right_count,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,left_action,right_action,left_outcome,right_outcome,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_state_class,right_state_class,same_state_class,same_action,same_outcome,passive_only,left_sehen_form_flow,right_sehen_form_flow,left_sehen_form_stability,right_sehen_form_stability,left_sehen_form_change,right_sehen_form_change,left_hoeren_energy_tone,right_hoeren_energy_tone,left_hoeren_energy_shift,right_hoeren_energy_shift,left_fuehlen_mcm_coherence,right_fuehlen_mcm_coherence,left_fuehlen_mcm_tension,right_fuehlen_mcm_tension,left_fuehlen_mcm_asymmetry,right_fuehlen_mcm_asymmetry,kinship_sentence
dio_02qu,dio_173s,1,0.356643864,0.737113127,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,inner_map_trust_stable_identical_repeat,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,trust,quiet,0,0,0,1,0.291659,-0.47548,0.0,0.0,0.29436,0.637839,0.053713,-0.190469,0.089286,-0.151163,0.38496,0.346669,0.192154,0.381753,0.251832,-0.14342,dio_02qu -> dio_173s: sensorische/MCM-Naehe=0.737113; links=inner_map_trust_stable_identical_repeat rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_02qu,dio_15ms,2,0.418043266,0.705197101,3,2,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,inner_map_trust_stable_identical_repeat,inner_map_quiet_variant_repeat,reflection_trust_seed,reflection_quiet_observation,trust,quiet,0,0,0,1,0.291659,0.302961,0.0,0.0,0.29436,-0.845264,0.053713,-0.02905,0.089286,0.013333,0.38496,0.391866,0.192154,0.274687,0.251832,-0.030538,dio_02qu -> dio_15ms: sensorische/MCM-Naehe=0.705197; links=inner_map_trust_stable_identical_repeat rechts=inner_map_quiet_variant_repeat; Aktion=LONG->WAIT.
dio_02qu,dio_0x52,3,0.426538236,0.700997684,3,2,3.0,-2.0,3.0,-2.0,LONG,SHORT,TP,SL,inner_map_trust_stable_identical_repeat,inner_map_caution_stable_identical_repeat,reflection_trust_seed,reflection_caution_seed,trust,caution,0,0,0,1,0.291659,0.146987,0.0,1.0,0.29436,0.076034,0.053713,0.133722,0.089286,0.272727,0.38496,0.962558,0.192154,0.130063,0.251832,0.155106,dio_02qu -> dio_0x52: sensorische/MCM-Naehe=0.700998; links=inner_map_trust_stable_identical_repeat rechts=inner_map_caution_stable_identical_repeat; Aktion=LONG->SHORT.
dio_0arw,dio_173s,1,0.092422424,0.915396808,1,3,1.0,0.0,1.0,0.0,LONG,WAIT,TP,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,single,quiet,0,0,0,1,-0.447325,-0.47548,0.0,0.0,0.533785,0.637839,-0.00536,-0.190469,-0.059524,-0.151163,0.398499,0.346669,0.275533,0.381753,-0.134298,-0.14342,dio_0arw -> dio_173s: sensorische/MCM-Naehe=0.915397; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0arw,dio_0gmg,2,0.248513368,0.800952577,1,3,1.0,0.0,1.0,0.0,LONG,WAIT,TP,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,single,quiet,0,0,0,1,-0.447325,-0.758808,0.0,0.0,0.533785,0.86012,-0.00536,-0.206849,-0.059524,-0.44086,0.398499,0.342082,0.275533,0.543195,-0.134298,-0.306676,dio_0arw -> dio_0gmg: sensorische/MCM-Naehe=0.800953; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0arw,dio_07rf,3,0.367925376,0.73103403,1,2,1.0,0.0,1.0,0.0,LONG,WAIT,TP,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,single,quiet,0,0,0,1,-0.447325,-0.639125,0.0,0.0,0.533785,-0.394091,-0.00536,0.132211,-0.059524,0.218391,0.398499,0.362981,0.275533,0.387016,-0.134298,-0.408814,dio_0arw -> dio_07rf: sensorische/MCM-Naehe=0.731034; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0fiy,dio_07rf,1,0.139484016,0.877590195,1,2,-1.0,0.0,-1.0,0.0,LONG,WAIT,SL,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_negative_open,reflection_quiet_observation,single,quiet,0,0,0,1,-0.598073,-0.639125,0.0,0.0,-0.125696,-0.394091,0.248256,0.132211,-0.038462,0.218391,0.330488,0.362981,0.375569,0.387016,-0.37278,-0.408814,dio_0fiy -> dio_07rf: sensorische/MCM-Naehe=0.877590; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0fiy,dio_173s,2,0.327128025,0.753506807,1,3,-1.0,0.0,-1.0,0.0,LONG,WAIT,SL,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_negative_open,reflection_quiet_observation,single,quiet,0,0,0,1,-0.598073,-0.47548,0.0,0.0,-0.125696,0.637839,0.248256,-0.190469,-0.038462,-0.151163,0.330488,0.346669,0.375569,0.381753,-0.37278,-0.14342,dio_0fiy -> dio_173s: sensorische/MCM-Naehe=0.753507; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0fiy,dio_0gmg,3,0.41822785,0.705105319,1,3,-1.0,0.0,-1.0,0.0,LONG,WAIT,SL,NO_TRADE,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_negative_open,reflection_quiet_observation,single,quiet,0,0,0,1,-0.598073,-0.758808,0.0,0.0,-0.125696,0.86012,0.248256,-0.206849,-0.038462,-0.44086,0.330488,0.342082,0.375569,0.543195,-0.37278,-0.306676,dio_0fiy -> dio_0gmg: sensorische/MCM-Naehe=0.705105; links=inner_map_single_observation rechts=inner_map_quiet_stable_identical_repeat; Aktion=LONG->WAIT.
dio_0igh,dio_0hd3,1,0.118432516,0.894108482,1,1,0.0,1.0,0.0,1.0,WAIT,SHORT,NO_TRADE,TP,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_trust_seed,single,single,1,0,0,1,0.694031,0.749283,1.0,1.0,0.092729,-0.124658,0.05354,0.099036,0.083799,-0.146199,0.985009,0.97227,0.328817,0.37624,0.427672,0.360441,dio_0igh -> dio_0hd3: sensorische/MCM-Naehe=0.894108; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=WAIT->SHORT.
dio_0igh,dio_0x52,2,0.238735792,0.807274648,1,2,0.0,-2.0,0.0,-2.0,WAIT,SHORT,NO_TRADE,SL,inner_map_single_observation,inner_map_caution_stable_identical_repeat,reflection_quiet_observation,reflection_caution_seed,single,caution,0,0,0,1,0.694031,0.146987,1.0,1.0,0.092729,0.076034,0.05354,0.133722,0.083799,0.272727,0.985009,0.962558,0.328817,0.130063,0.427672,0.155106,dio_0igh -> dio_0x52: sensorische/MCM-Naehe=0.807275; links=inner_map_single_observation rechts=inner_map_caution_stable_identical_repeat; Aktion=WAIT->SHORT.
