trace_group,field,left_family,right_family,left_value,right_value,abs_delta,trace_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,trace_similarity
sehen,avg_sehen_form_flow,dio_0scd,dio_122f,0.421088,0.443636,0.022548,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_stability,dio_0scd,dio_122f,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_change,dio_0scd,dio_122f,-0.131732,-0.072264,0.059468,nahe_spur,True,False,False,False,False,False,False,False,
sehen,__group_summary__,dio_0scd,dio_122f,,,0.027339,gemeinsame_spur,True,False,False,False,False,False,False,False,0.994056
hoeren,avg_hoeren_energy_tone,dio_0scd,dio_122f,-0.020974,-0.029192,0.008218,gemeinsame_spur,True,False,False,False,False,False,False,False,
hoeren,avg_hoeren_energy_shift,dio_0scd,dio_122f,-0.184255,-0.197595,0.01334,gemeinsame_spur,True,False,False,False,False,False,False,False,
hoeren,__group_summary__,dio_0scd,dio_122f,,,0.010779,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999071
fuehlen_mcm,avg_fuehlen_mcm_coherence,dio_0scd,dio_122f,0.394127,0.391826,0.002301,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_tension,dio_0scd,dio_122f,0.206743,0.21015,0.003407,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_asymmetry,dio_0scd,dio_122f,0.167343,0.191574,0.024231,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,__group_summary__,dio_0scd,dio_122f,,,0.00998,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999204
zeit_nachhall,avg_mini_recurrence_strength,dio_0scd,dio_122f,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_afterimage,dio_0scd,dio_122f,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_time_distance,dio_0scd,dio_122f,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
