symbol_family,maturation_state,observation_count,execution_count,first_observation_run,first_observation_tick,first_observation_best_action,first_observation_best_reward,first_execution_run,first_execution_tick,first_execution_action,first_execution_reward,run_lag,tick_lag,observation_reward_potential_sum,execution_reward_sum
dio_0hd3,observation_matured_to_execution,2,2,124,6,SHORT,1.459285,126,6,SHORT,1.459285,2,0,2.91857,2.91857
dio_1wie,observation_matured_to_execution,3,1,124,14,SHORT,0.794658,127,14,SHORT,0.794658,3,0,2.383974,0.794658
dio_0c6o,observation_matured_to_execution,2,2,124,1,LONG,1.148164,126,1,LONG,1.148164,2,0,2.296328,2.296328
dio_1g18,observation_not_yet_executed,3,0,124,13,SHORT,0.796759,,,,0.0,,,2.390277,0
dio_0jco,observation_not_yet_executed,3,0,124,12,SHORT,0.733987,,,,0.0,,,2.201961,0
dio_0u1i,observation_not_yet_executed,2,0,124,5,SHORT,1.076433,,,,0.0,,,2.152866,0
dio_15ms,observation_not_yet_executed,2,0,124,7,SHORT,0.965478,,,,0.0,,,1.930956,0
dio_12jm,observation_not_yet_executed,3,0,124,17,LONG,0.56072,,,,0.0,,,1.68216,0
dio_1k8m,observation_not_yet_executed,2,0,124,2,LONG,0.657502,,,,0.0,,,1.315004,0
dio_14jl,observation_not_yet_executed,3,0,124,16,LONG,0.360587,,,,0.0,,,1.081761,0
dio_199c,observation_not_yet_executed,2,0,124,4,SHORT,0.522554,,,,0.0,,,1.045108,0
dio_0avw,observation_not_yet_executed,4,0,124,11,SHORT,0.244014,,,,0.0,,,0.976056,0
dio_0izw,observation_not_yet_executed,2,0,124,8,SHORT,0.402399,,,,0.0,,,0.804798,0
dio_05s4,observation_not_yet_executed,3,0,124,15,SHORT,0.194175,,,,0.0,,,0.582525,0
dio_1vp3,observation_not_yet_executed,2,0,124,18,LONG,0.163713,,,,0.0,,,0.327426,0
dio_1uv4,observation_not_yet_executed,1,0,126,18,LONG,0.163713,,,,0.0,,,0.163713,0
dio_07rf,observation_not_yet_executed,2,0,124,9,LONG,0.030336,,,,0.0,,,0.060672,0
dio_1guc,observation_not_yet_executed,2,0,124,3,LONG,0.029853,,,,0.0,,,0.059706,0
