maturation_state,family_count,row_count,reward_sum,event_reward_sum,families,bindings,outcomes
maturation_mixed_recurrence,1,3,1.0,1.0,dio_0cgn,multisensory_quiet_observation,NO_TRADE
maturation_quiet_observation,13,32,0.0,0.0,"dio_04zi,dio_06bd,dio_0fa9,dio_0ojr,dio_0rb2,dio_0ui9,dio_0vc8,dio_1g7l,dio_1jo7,dio_1q9b,dio_1qig,dio_1t73,dio_1w4m",multisensory_quiet_observation,NO_TRADE
maturation_stable_conflicted_burden,1,3,-3.0,-3.0,dio_1k0r,multisensory_conflicted_burden,SL
