symbol_family,maturation_state,stability_label,count,run_count,runs,reward_sum,event_reward_sum,avg_reward,avg_dominant_share,dominant_binding_state,dominant_inner_state,dominant_contact_state,dominant_action,dominant_outcome_event,dominant_sight_state,dominant_hearing_state,dominant_feeling_state,maturation_sentence,passive_only
dio_0cgn,maturation_mixed_recurrence,multisensory_mixed_repeat,3,3,"159,160,161",1.0,1.0,0.333333,0.791667,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,"dio_0cgn: gemischte Wiederkehr; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_ruhig; reward_sum=1.000000; Runs=159,160,161.",1
dio_04zi,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_helle_spannung,fuehlen_koharent_gespannt,"dio_04zi: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_koharent_gespannt; Runs=159,160.",1
dio_06bd,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,"dio_06bd: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=159,160.",1
dio_0fa9,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,"dio_0fa9: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_inkoharent; Runs=159,160.",1
dio_0ojr,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,"dio_0ojr: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=159,160.",1
dio_0rb2,maturation_quiet_observation,multisensory_stable_repeat,3,3,"159,160,161",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,"dio_0rb2: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_inkoharent; Runs=159,160,161.",1
dio_0ui9,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,"dio_0ui9: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=159,160.",1
dio_0vc8,maturation_quiet_observation,multisensory_stable_repeat,1,1,161,0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,"dio_0vc8: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=161.",1
dio_1g7l,maturation_quiet_observation,multisensory_stable_repeat,3,3,"159,160,161",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_dunkle_spannung,fuehlen_inkoharent,"dio_1g7l: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_inkoharent; Runs=159,160,161.",1
dio_1jo7,maturation_quiet_observation,multisensory_stable_repeat,3,3,"159,160,161",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,"dio_1jo7: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_inkoharent; Runs=159,160,161.",1
