metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
node_count_reference,297,True,False,False,False,False,False,False,False
node_count_candidate,305,True,False,False,False,False,False,False,False
shared_node_count,258,True,False,False,False,False,False,False,False
node_reproduction_rate,0.868687,True,False,False,False,False,False,False,False
edge_count_reference,12,True,False,False,False,False,False,False,False
edge_count_candidate,12,True,False,False,False,False,False,False,False
shared_edge_count,4,True,False,False,False,False,False,False,False
edge_reproduction_rate,0.333333,True,False,False,False,False,False,False,False
island_count_reference,285,True,False,False,False,False,False,False,False
island_count_candidate,293,True,False,False,False,False,False,False,False
avg_island_similarity_reference,0.03859,True,False,False,False,False,False,False,False
avg_island_similarity_candidate,0.034124,True,False,False,False,False,False,False,False
