source_label,source_file,symbol_family,schema_state,reflection_maturity,real_contact_path,inner_state_path,worlds,reward_sum,best_reward_sum,writes_memory,passive_only
probe17_18,debug\dio_mini_passive_reflection_memory_schema_check_probe17_18\dio_mini_passive_reflection_memory_schema_check.csv,dio_0t0v,eligible_passive_schema,reflection_reorganized_readable,negative:1 -> observed:2 -> positive:4,carried:7,"probe18_first,probe18_repeat1,probe18_repeat2",2.909977,7.256613,0,1
probe17_18,debug\dio_mini_passive_reflection_memory_schema_check_probe17_18\dio_mini_passive_reflection_memory_schema_check.csv,dio_1vpi,eligible_passive_schema,reflection_cautious_unresolved,negative:5 -> observed:6,cautious:11,"probe18_first,probe18_repeat1,probe18_repeat2",-1.712415,1.567313,0,1
