family,count,actions,reward_sum,avg_reward,avg_entry_improvement_room,max_entry_improvement_room
dio_00eh,1,SHORT:1,-0.431148,-0.431148,0.005166,0.005166
dio_0nmi,1,LONG:1,2.0,2.0,0.002039,0.002039
dio_121e,2,SHORT:2,3.042412,1.521206,0.001805,0.001805
dio_1d6j,1,LONG:1,1.143781,1.143781,0.001636,0.001636
dio_1h5i,1,LONG:1,1.652416,1.652416,0.001429,0.001429
dio_0f4h,1,LONG:1,2.0,2.0,0.001019,0.001019
