support_pair,families,phases,phase_count,rows,executed_local_confirmation,observed_related_potential,long_local,short_local,avg_local_confirmation,max_local_confirmation,reward_sum
dio_052z<->dio_0byw,"dio_052z,dio_0byw","referenz,sensorische_varianz",2,2,2,0,2,0,0.601006,0.67007,10.067038
dio_0n4c<->dio_1r0h,"dio_0n4c,dio_1r0h","rauschen,varianz",2,2,2,0,0,2,0.571632,0.575538,6.214688
dio_0fp8<->dio_0lt6,"dio_0fp8,dio_0lt6","referenz,sensorische_varianz",2,2,2,0,0,2,0.433241,0.49903,2.927248
dio_0nv8<->dio_0vyd,"dio_0nv8,dio_0vyd","sensorische_varianz,varianz",2,2,1,1,0,2,0.346757,0.465048,1.826216
dio_14zx<->dio_1bzs,"dio_14zx,dio_1bzs","referenz,sensorische_varianz",2,2,1,1,0,2,0.342445,0.459745,1.782506
dio_179o<->dio_1v23,"dio_179o,dio_1v23","rauschen,varianz",2,2,1,1,2,0,0.336873,0.445774,1.431863
dio_0uct<->dio_1mml,"dio_0uct,dio_1mml","rauschen,varianz",2,2,1,1,2,0,0.303829,0.377189,0.956362
dio_0f4h<->dio_1vb3,"dio_0f4h,dio_1vb3",rauschen,1,2,1,1,2,0,0.297653,0.368216,0.817431
dio_1uez<->dio_1vb3,"dio_1uez,dio_1vb3",rauschen,1,1,1,0,1,0,0.446938,0.446938,1.446988
dio_0309<->dio_18iw,"dio_0309,dio_18iw","rauschen,sensorische_varianz",2,2,0,2,0,2,0.229644,0.230271,0.0
dio_0oio<->dio_1ieq,"dio_0oio,dio_1ieq","sensorische_varianz,varianz",2,2,0,2,2,0,0.227391,0.228234,0.0
dio_07yj<->dio_1tki,"dio_07yj,dio_1tki","referenz,sensorische_varianz",2,2,0,2,2,0,0.224288,0.227082,0.0
dio_0rgr<->dio_1rka,"dio_0rgr,dio_1rka","rauschen,sensorische_varianz",2,2,0,2,2,0,0.226133,0.22662,0.0
dio_01nf<->dio_0wsj,"dio_01nf,dio_0wsj","rauschen,sensorische_varianz",2,2,0,2,2,0,0.226367,0.226565,0.0
dio_0qb3<->dio_18wf,"dio_0qb3,dio_18wf","rauschen,varianz",2,2,0,2,2,0,0.225804,0.226505,0.0
dio_0av4<->dio_0b0d,"dio_0av4,dio_0b0d",sensorische_varianz,1,2,0,2,0,2,0.225897,0.227007,0.0
dio_0i5m<->dio_0ifl,"dio_0i5m,dio_0ifl",sensorische_varianz,1,2,0,2,0,2,0.225979,0.226393,0.0
dio_0v7w<->dio_0w1v,"dio_0v7w,dio_0w1v",referenz,1,2,0,2,0,2,0.223387,0.225097,0.0
dio_052z<->dio_0irs,"dio_052z,dio_0irs",varianz,1,1,0,1,1,0,0.235885,0.235885,0.0
dio_0dcm<->dio_1r0h,"dio_0dcm,dio_1r0h",rauschen,1,1,0,1,0,1,0.234177,0.234177,0.0
dio_1r0h<->dio_1sxo,"dio_1r0h,dio_1sxo",rauschen,1,1,0,1,0,1,0.231742,0.231742,0.0
dio_0uct<->dio_1j78,"dio_0uct,dio_1j78",rauschen,1,1,0,1,1,0,0.231441,0.231441,0.0
dio_0nv8<->dio_13wt,"dio_0nv8,dio_13wt",varianz,1,1,0,1,0,1,0.229619,0.229619,0.0
dio_081d<->dio_0nmi,"dio_081d,dio_0nmi",varianz,1,1,0,1,1,0,0.228234,0.228234,0.0
dio_0f4h<->dio_0nmi,"dio_0f4h,dio_0nmi",rauschen,1,1,0,1,1,0,0.228113,0.228113,0.0
dio_07mf<->dio_1j78,"dio_07mf,dio_1j78",varianz,1,1,0,1,1,0,0.227637,0.227637,0.0
dio_081d<->dio_1ml8,"dio_081d,dio_1ml8",sensorische_varianz,1,1,0,1,1,0,0.22749,0.22749,0.0
dio_0lt6<->dio_0rh0,"dio_0lt6,dio_0rh0",sensorische_varianz,1,1,0,1,0,1,0.227477,0.227477,0.0
dio_0w1v<->dio_1at7,"dio_0w1v,dio_1at7",varianz,1,1,0,1,0,1,0.226922,0.226922,0.0
dio_0f4h<->dio_0k53,"dio_0f4h,dio_0k53",rauschen,1,1,0,1,1,0,0.226823,0.226823,0.0
dio_0w1v<->dio_1lz7,"dio_0w1v,dio_1lz7",varianz,1,1,0,1,0,1,0.22658,0.22658,0.0
dio_0k53<->dio_1tg9,"dio_0k53,dio_1tg9",rauschen,1,1,0,1,1,0,0.226572,0.226572,0.0
dio_0av4<->dio_1iuq,"dio_0av4,dio_1iuq",sensorische_varianz,1,1,0,1,0,1,0.225937,0.225937,0.0
dio_0nny<->dio_0rgr,"dio_0nny,dio_0rgr",referenz,1,1,0,1,1,0,0.221703,0.221703,0.0
dio_0byw<->dio_0qyu,"dio_0byw,dio_0qyu",referenz,1,1,0,1,1,0,0.221593,0.221593,0.0
dio_0rgr<->dio_0xq8,"dio_0rgr,dio_0xq8",referenz,1,1,0,1,1,0,0.22153,0.22153,0.0
dio_0zlr<->dio_1bzs,"dio_0zlr,dio_1bzs",referenz,1,1,0,1,0,1,0.221169,0.221169,0.0
dio_1144<->dio_14zx,"dio_1144,dio_14zx",referenz,1,1,0,1,0,1,0.221063,0.221063,0.0
dio_0rej<->dio_0v7w,"dio_0rej,dio_0v7w",referenz,1,1,0,1,0,1,0.221046,0.221046,0.0
